INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID7022544,DSSTox_Substance_Id,DTXSID7022544,Acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DTXSID0020573,DSSTox_Substance_Id,DTXSID0020573,17beta-Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
DTXSID6041133,DSSTox_Substance_Id,DTXSID6041133,Vorinostat,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1
DTXSID0022777,DSSTox_Substance_Id,DTXSID0022777,Celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
DTXSID4020290,DSSTox_Substance_Id,DTXSID4020290,"[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic acid",CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
DTXSID7037131,DSSTox_Substance_Id,DTXSID7037131,Rosiglitazone,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=NC=CC=C1
DTXSID1037272,DSSTox_Substance_Id,DTXSID1037272,Tacrine,NC1=C2CCCCC2=NC2=C1C=CC=C2
DTXSID9041152,DSSTox_Substance_Id,DTXSID9041152,(+/-)-Verapamil,COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC
DTXSID1023021,DSSTox_Substance_Id,DTXSID1023021,Ethoxzolamide,CCOC1=CC=C2N=C(SC2=C1)S(N)(=O)=O
DTXSID4034150,DSSTox_Substance_Id,DTXSID4034150,Haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
DTXSID6023575,DSSTox_Substance_Id,DTXSID6023575,Selegiline,C[C@H](CC1=CC=CC=C1)N(C)CC#C
DTXSID0030956,DSSTox_Substance_Id,DTXSID0030956,Camptothecin,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC=C4)N=C13)C2=O
DTXSID9022364,DSSTox_Substance_Id,DTXSID9022364,5alpha-Dihydrotestosterone,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C
DTXSID1022922,DSSTox_Substance_Id,DTXSID1022922,Dichlorphenamide,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O
DTXSID6037063,DSSTox_Substance_Id,DTXSID6037063,Trichostatin A,C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
DTXSID3046453,DSSTox_Substance_Id,DTXSID3046453,Rimonabant,CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Cl)C=C1
DTXSID8048317,DSSTox_Substance_Id,DTXSID8048317,Donepezil,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
DTXSID1020930,DSSTox_Substance_Id,DTXSID1020930,(-)-Nicotine,CN1CCC[C@H]1C1=CN=CC=C1
DTXSID8023688,DSSTox_Substance_Id,DTXSID8023688,Topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
DTXSID9020740,DSSTox_Substance_Id,DTXSID9020740,Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
