INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID7022544,DSSTox_Substance_Id,DTXSID7022544,Acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DTXSID20399226,DSSTox_Substance_Id,DTXSID20399226,3-phenyl-2-oxa-3-azabicyclo[2.2.2]oct-5-ene,[H]C12CCC([H])(C=C1)N(O2)C1=CC=CC=C1
DTXSID60300472,DSSTox_Substance_Id,DTXSID60300472,2-(1-naphthyl)cyclohexanone,O=C1CCCCC1C1=CC=CC2=CC=CC=C12
DTXSID40225573,DSSTox_Substance_Id,DTXSID40225573,"Morpholinium, 4-(2-(3,4-dihydroxyphenyl)-2-oxoethyl)-4-methyl-",C[N+]1(CC(=O)C2=CC(O)=C(O)C=C2)CCOCC1
DTXSID20354431,DSSTox_Substance_Id,DTXSID20354431,methyl 5-[(4-formylphenoxy)methyl]-2-furoate,COC(=O)C1=CC=C(COC2=CC=C(C=O)C=C2)O1
DTXSID30357630,DSSTox_Substance_Id,DTXSID30357630,1-(4-ethoxyphenyl)-3-ethylthiourea,CCNC(=S)NC1=CC=C(OCC)C=C1
DTXSID40613951,DSSTox_Substance_Id,DTXSID40613951,1H-Benzimidazole-2-carbothialdehyde,S=CC1=NC2=CC=CC=C2N1
DTXSID80346690,DSSTox_Substance_Id,DTXSID80346690,STK560522,OC1N=C(C2=CC=CC=C2)C2=CC=CC=C2NC1=O
DTXSID00292362,DSSTox_Substance_Id,DTXSID00292362,MLS002694467,CCCCCC1CC(=O)NC1(C(=O)OCC)C(=O)OCC
DTXSID40420940,DSSTox_Substance_Id,DTXSID40420940,NSC407357,CN(C)C1=CC=C(\C=C\C2=C3C=CC4=CC=CC=C4C3=NC=C2)C=C1
DTXSID10277241,DSSTox_Substance_Id,DTXSID10277241,(biphenyl-2-yloxy)acetic acid,OC(=O)COC1=CC=CC=C1C1=CC=CC=C1
DTXSID50177716,DSSTox_Substance_Id,DTXSID50177716,6-Methyl-5-nitroquinoline,CC1=C(C2=C(C=C1)N=CC=C2)[N+]([O-])=O
DTXSID80337326,DSSTox_Substance_Id,DTXSID80337326,"Propanamide, 3-[(4-chlorophenyl)sulfonyl]-",NC(=O)CCS(=O)(=O)C1=CC=C(Cl)C=C1
DTXSID60285356,DSSTox_Substance_Id,DTXSID60285356,NSC41527,OC(CNCCN1CCNCC1)CC1=CC=CC=C1
DTXSID80357084,DSSTox_Substance_Id,DTXSID80357084,"7-(difluoromethyl)-5-methylpyrazolo[1,5-a]pyrimidine-3-carboxylic acid",CC1=NC2=C(C=NN2C(=C1)C(F)F)C(O)=O
DTXSID40322637,DSSTox_Substance_Id,DTXSID40322637,"2-(1,3-Dioxo-1,3-dihydro-2H-isoindol-2-yl)-N-(4-methylphenyl)acetamide",CC1=CC=C(NC(=O)CN2C(=O)C3=CC=CC=C3C2=O)C=C1
DTXSID60647157,DSSTox_Substance_Id,DTXSID60647157,N-Benzyl-N-methylpiperidin-4-amine--hydrogen chloride (1/1),Cl.CN(CC1=CC=CC=C1)C1CCNCC1
DTXSID40369744,DSSTox_Substance_Id,DTXSID40369744,"5'-bromospiro[1,3-dioxolane-2,3'-indol]-2'(1'H)-one",BrC1=CC2=C(NC(=O)C22OCCO2)C=C1
DTXSID90281200,DSSTox_Substance_Id,DTXSID90281200,"1-(2-phenyl-2H-1,2,3-triazol-4-yl)butane-1,2,3,4-tetrol",OCC(O)C(O)C(O)C1=NN(N=C1)C1=CC=CC=C1
DTXSID50363051,DSSTox_Substance_Id,DTXSID50363051,2-(2-formyl-1H-pyrrol-1-yl)-4-methoxynicotinonitrile,COC1=C(C#N)C(=NC=C1)N1C=CC=C1C=O
DTXSID70292798,DSSTox_Substance_Id,DTXSID70292798,"propanoic acid, 2-[(4-morpholinylthioxomethyl)thio]-",CC(SC(=S)N1CCOCC1)C(O)=O
DTXSID30372308,DSSTox_Substance_Id,DTXSID30372308,"4-(1,2,3-thiadiazol-4-yl)benzamide",NC(=O)C1=CC=C(C=C1)C1=CSN=N1
DTXSID30399570,DSSTox_Substance_Id,DTXSID30399570,3-[2-(3-chlorophenyl)ethyl]-2-pyridinecarbonitrile,ClC1=CC=CC(CCC2=C(N=CC=C2)C#N)=C1
DTXSID50232738,DSSTox_Substance_Id,DTXSID50232738,2'-(4-Methoxybenzoyl)-1-naphthohydrazide,COC1=CC=C(C=C1)C(=O)NNC(=O)C1=CC=CC2=CC=CC=C12
DTXSID40379242,DSSTox_Substance_Id,DTXSID40379242,"7-Amino-2-(methylsulfanyl)[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxylic acid",CSC1=NN2C(=N1)N=CC(C(O)=O)=C2N
DTXSID40391181,DSSTox_Substance_Id,DTXSID40391181,1-(3-Methoxy-benzyl)-piperidine-2-carboxylic acid,COC1=CC=CC(CN2CCCCC2C(O)=O)=C1
DTXSID10381897,DSSTox_Substance_Id,DTXSID10381897,"ethyl 2-(3,5-dichloro-4-oxo-1,4-dihydropyridin-1-yl)acetate",CCOC(=O)CN1C=C(Cl)C(=O)C(Cl)=C1
