INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID7022544,DSSTox_Substance_Id,DTXSID7022544,Acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DTXSID90151171,DSSTox_Substance_Id,DTXSID90151171,"7,4'-Dimethoxyisoflavone",COC1=CC=C(C=C1)C1=COC2=C(C=CC(OC)=C2)C1=O
DTXSID90353032,DSSTox_Substance_Id,DTXSID90353032,5-(pyridin-2-yl)thiophene-2-carboxylic acid,OC(=O)C1=CC=C(S1)C1=CC=CC=N1
DTXSID10350664,DSSTox_Substance_Id,DTXSID10350664,"5-[(3,4-dimethylphenoxy)methyl]-1,3,4-thiadiazol-2-amine",CC1=C(C)C=C(OCC2=NN=C(N)S2)C=C1
DTXSID80206826,DSSTox_Substance_Id,DTXSID80206826,2-Acetylaminonaphthalene,CC(=O)NC1=CC2=CC=CC=C2C=C1
DTXSID80492247,DSSTox_Substance_Id,DTXSID80492247,"2-Phenyl-1,5-naphthyridine",C1=CC=C(C=C1)C1=NC2=C(C=C1)N=CC=C2
DTXSID30304169,DSSTox_Substance_Id,DTXSID30304169,N-(3-acetylphenyl)-N'-phenylurea,CC(=O)C1=CC(NC(=O)NC2=CC=CC=C2)=CC=C1
DTXSID90286174,DSSTox_Substance_Id,DTXSID90286174,2-(pyridin-2-yl)ethyl phenylcarbamate,O=C(NC1=CC=CC=C1)OCCC1=CC=CC=N1
DTXSID10318582,DSSTox_Substance_Id,DTXSID10318582,"6-(4-chlorophenyl)-2,3-dihydroimidazo[2,1-b][1,3]thiazole",ClC1=CC=C(C=C1)C1=CN2CCSC2=N1
DTXSID00167147,DSSTox_Substance_Id,DTXSID00167147,SW-6,OCC1=C2SC3=CC=CC=C3C(=O)C2=C(NCCN2CCCCC2)C=C1
DTXSID20301607,DSSTox_Substance_Id,DTXSID20301607,"3,6-Di(pyridin-2-yl)-1,4-dihydro-1,2,4,5-tetrazine",N1N=C(NN=C1C1=CC=CC=N1)C1=CC=CC=N1
DTXSID10309258,DSSTox_Substance_Id,DTXSID10309258,MLS003115074,CC(=O)NC1=CC(OCC2=CC=C(C=C2)[N+]([O-])=O)=CC=C1
DTXSID40350192,DSSTox_Substance_Id,DTXSID40350192,2-(4-Ethoxyphenyl)-6-methyl-2H-benzotriazol-5-amine,CCOC1=CC=C(C=C1)N1N=C2C=C(C)C(N)=CC2=N1
DTXSID30283102,DSSTox_Substance_Id,DTXSID30283102,pyridin-2-ylmethyl N-(3-chlorophenyl)carbamate,ClC1=CC=CC(NC(=O)OCC2=CC=CC=N2)=C1
DTXSID80293539,DSSTox_Substance_Id,DTXSID80293539,"2,5-bis(4-fluorophenyl)-1,3,4-oxadiazole",FC1=CC=C(C=C1)C1=NN=C(O1)C1=CC=C(F)C=C1
DTXSID50281948,DSSTox_Substance_Id,DTXSID50281948,MLS002638948,CCC1(COC(OC1)C1=CC=C(C=C1)C(C)C)[N+]([O-])=O
DTXSID10359071,DSSTox_Substance_Id,DTXSID10359071,"6-(chloromethyl)-N-(4-methylphenyl)-1,3,5-triazine-2,4-diamine",CC1=CC=C(NC2=NC(CCl)=NC(N)=N2)C=C1
DTXSID80349681,DSSTox_Substance_Id,DTXSID80349681,3-nitro-N-quinolin-8-ylbenzamide,[O-][N+](=O)C1=CC=CC(=C1)C(=O)NC1=CC=CC2=C1N=CC=C2
DTXSID30277586,DSSTox_Substance_Id,DTXSID30277586,2-[1-CHLORO-2-(4-NITROPHENYL)ETHYL]PYRIDINE,[O-][N+](=O)C1=CC=C(CC(Cl)C2=CC=CC=N2)C=C1
DTXSID80315447,DSSTox_Substance_Id,DTXSID80315447,MLS000757086,CC1=NN(\C(N)=N\C(=O)C2=CC=C(C=C2)[N+]([O-])=O)C(C)=C1
DTXSID50336280,DSSTox_Substance_Id,DTXSID50336280,"2-Furancarboxamide, N-(4-bromophenyl)-",BrC1=CC=C(NC(=O)C2=CC=CO2)C=C1
DTXSID20323162,DSSTox_Substance_Id,DTXSID20323162,MLS003171535,COC1=CC=CC(COC(=O)NC2=CC=CC=C2)=C1OC
DTXSID10285725,DSSTox_Substance_Id,DTXSID10285725,N-Methyl-N-[2-(pyridin-2-yl)ethyl]aniline,CN(CCC1=CC=CC=N1)C1=CC=CC=C1
DTXSID60366674,DSSTox_Substance_Id,DTXSID60366674,"5-phenyl-3-prop-2-enylsulfanyl-1H-1,2,4-triazole",C=CCSC1=NNC(=N1)C1=CC=CC=C1
DTXSID30284977,DSSTox_Substance_Id,DTXSID30284977,"1-[(4-phenyl-1,3-thiazol-2-yl)methyl]piperidine",C(N1CCCCC1)C1=NC(=CS1)C1=CC=CC=C1
DTXSID00296087,DSSTox_Substance_Id,DTXSID00296087,MLS002703989,CC(=O)NC1=CC(OCC2=CC(=CC=C2)[N+]([O-])=O)=CC=C1
DTXSID00210748,DSSTox_Substance_Id,DTXSID00210748,"Benzamide, N-1H-benzimidazol-2-yl-2-hydroxy-",OC1=CC=CC=C1C(=O)NC1=NC2=CC=CC=C2N1
DTXSID20288181,DSSTox_Substance_Id,DTXSID20288181,MLS002667689,COC1=CC(C(=O)CC(=O)C2=CC=NC=C2)=C(O)C=C1
DTXSID20293412,DSSTox_Substance_Id,DTXSID20293412,MLS002694924,CN(C=O)C1=CC=C(CSC2=CC=CC=C2)C=C1
DTXSID90356801,DSSTox_Substance_Id,DTXSID90356801,4-chlorophenyl (3-methylphenoxy)acetate,CC1=CC(OCC(=O)OC2=CC=C(Cl)C=C2)=CC=C1
DTXSID6047735,DSSTox_Substance_Id,DTXSID6047735,Anilinobenzothiazole,N(C1=NC2=C(S1)C=CC=C2)C1=CC=CC=C1
DTXSID20569902,DSSTox_Substance_Id,DTXSID20569902,"(5H-[1]Benzopyrano[4,3-b]pyridin-3-yl)(2-hydroxyphenyl)methanone",OC1=CC=CC=C1C(=O)C1=CC2=C(N=C1)C1=CC=CC=C1OC2
DTXSID7064653,DSSTox_Substance_Id,DTXSID7064653,"5H-Benzo[a]phenoxazin-5-one, 9-(diethylamino)-",CCN(CC)C1=CC=C2N=C3C(OC2=C1)=CC(=O)C1=CC=CC=C31
DTXSID10153258,DSSTox_Substance_Id,DTXSID10153258,"9H-Xanthen-9-one, 2-methoxy-",COC1=CC2=C(OC3=CC=CC=C3C2=O)C=C1
DTXSID90372268,DSSTox_Substance_Id,DTXSID90372268,"5-(4-tert-butylphenyl)-1,3,4-oxadiazol-2-amine",CC(C)(C)C1=CC=C(C=C1)C1=NN=C(N)O1
DTXSID20365042,DSSTox_Substance_Id,DTXSID20365042,"N,N'-pyridine-2,6-diyldibenzamide",O=C(NC1=CC=CC(NC(=O)C2=CC=CC=C2)=N1)C1=CC=CC=C1
DTXSID70352402,DSSTox_Substance_Id,DTXSID70352402,"3,4-dihydro-2H-1,5-benzodioxepin-7-yl(phenyl)methanone",O=C(C1=CC=CC=C1)C1=CC2=C(OCCCO2)C=C1
DTXSID90353835,DSSTox_Substance_Id,DTXSID90353835,"2,5-diphenylpyrimidine",C1=CC=C(C=C1)C1=CN=C(N=C1)C1=CC=CC=C1
DTXSID00351160,DSSTox_Substance_Id,DTXSID00351160,"Ethanone, 1-(2-hydroxy-4-methoxyphenyl)-2-(1-phenyl-1H-pyrazol-4-yl)-",COC1=CC(O)=C(C=C1)C(=O)CC1=CN(N=C1)C1=CC=CC=C1
DTXSID00299598,DSSTox_Substance_Id,DTXSID00299598,"Ethanedione, (4-methoxyphenyl)phenyl-, 1-hydrazone",COC1=CC=C(C=C1)C(=O)C(=NN)C1=CC=CC=C1
DTXSID50278116,DSSTox_Substance_Id,DTXSID50278116,"(1e)-1,3-bis(4-nitrophenyl)triaz-1-ene",[O-][N+](=O)C1=CC=C(N\N=N\C2=CC=C(C=C2)[N+]([O-])=O)C=C1
DTXSID60184350,DSSTox_Substance_Id,DTXSID60184350,"Ketone, 3-indolyl morpholinomethyl",O=C(CN1CCOCC1)C1=CNC2=CC=CC=C12
DTXSID10358206,DSSTox_Substance_Id,DTXSID10358206,N-benzyl-2-cyclohexylacetamide,O=C(CC1CCCCC1)NCC1=CC=CC=C1
DTXSID40288789,DSSTox_Substance_Id,DTXSID40288789,1-(4-methoxyphenyl)-3-phenylpropan-1-one,COC1=CC=C(C=C1)C(=O)CCC1=CC=CC=C1
DTXSID40349384,DSSTox_Substance_Id,DTXSID40349384,2-o-Tolyl-benzooxazol-5-ylamine,CC1=CC=CC=C1C1=NC2=C(O1)C=CC(N)=C2
DTXSID70353898,DSSTox_Substance_Id,DTXSID70353898,"Methanone, 2-benzofuranyl(4-fluorophenyl)-",FC1=CC=C(C=C1)C(=O)C1=CC2=CC=CC=C2O1
DTXSID90430534,DSSTox_Substance_Id,DTXSID90430534,NSC174725,S1C=CC=C1\C=N\N=C\C1=CC=CS1
DTXSID00350133,DSSTox_Substance_Id,DTXSID00350133,Methyl 3-amino-1-benzofuran-2-carboxylate,COC(=O)C1=C(N)C2=CC=CC=C2O1
DTXSID90223120,DSSTox_Substance_Id,DTXSID90223120,"2-Imidazolidinone, 1,3-diphenyl-",O=C1N(CCN1C1=CC=CC=C1)C1=CC=CC=C1
DTXSID90368282,DSSTox_Substance_Id,DTXSID90368282,"Benzamide, N-[(4-methylphenyl)methoxy]-",CC1=CC=C(CONC(=O)C2=CC=CC=C2)C=C1
DTXSID10179478,DSSTox_Substance_Id,DTXSID10179478,4-Morpholinobenzophenone,O=C(C1=CC=CC=C1)C1=CC=C(C=C1)N1CCOCC1
DTXSID50292731,DSSTox_Substance_Id,DTXSID50292731,MLS002694600,O=C(N(C1=CC=CC=C1)C1=CC=CC=C1)N1C=CC2=CC=CC=C2C1C#N
DTXSID20145523,DSSTox_Substance_Id,DTXSID20145523,"Benzamide, 2-bromo-N-phenyl-",BrC1=CC=CC=C1C(=O)NC1=CC=CC=C1
DTXSID30321356,DSSTox_Substance_Id,DTXSID30321356,MLS002701874,[H]C12OC([H])(C3=CC4=CC=CC=C4C=C13)C(C(=O)OC)=C2C(=O)OC
DTXSID90225705,DSSTox_Substance_Id,DTXSID90225705,N-(4-Methoxyphenyl)benzoic acid amide,COC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1
DTXSID30356704,DSSTox_Substance_Id,DTXSID30356704,"2-(4-Methoxy-phenyl)-2,3-dihydro-isoindol-1-one",COC1=CC=C(C=C1)N1CC2=CC=CC=C2C1=O
DTXSID20284906,DSSTox_Substance_Id,DTXSID20284906,2-(2-Anilinoethyl)pyridine,C(CC1=CC=CC=N1)NC1=CC=CC=C1
DTXSID30287241,DSSTox_Substance_Id,DTXSID30287241,MLS002667308,CCCN1C=NC2=C1N=C(N)N=C2SCC1=CC=CC=C1F
DTXSID00278808,DSSTox_Substance_Id,DTXSID00278808,3-(2-oxo-2-phenylethyl)quinoxalin-2(1h)-one,O=C(CC1=NC2=CC=CC=C2NC1=O)C1=CC=CC=C1
