,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,C(N1CCNCC1)C1=CC=CC=C1,c1ccc(CN2CCNCC2)cc1,"InChI=1S/C11H16N2/c1-2-4-11(5-3-1)10-13-8-6-12-7-9-13/h1-5,12H,6-10H2",IQXXEPZFOOTTBA-UHFFFAOYSA-N,5975,DTXSID0022197,DSSTox_Substance_Id,DTXSID0022197,1-Benzylpiperazine
1,O=C1N(CC2=CC=CC=C2)C(=O)C2=CC=CC=C2C1=O,O=C1C(=O)N(Cc2ccccc2)C(=O)c2ccccc21,"InChI=1S/C16H11NO3/c18-14-12-8-4-5-9-13(12)15(19)17(16(14)20)10-11-6-2-1-3-7-11/h1-9H,10H2",MCRWFXGWJMDFON-UHFFFAOYSA-N,5976,DTXSID80463477,DSSTox_Substance_Id,DTXSID80463477,"2-Benzylisoquinoline-1,3,4(2H)-trione"
2,C=CCN1C(=O)C(=O)C2=CC=CC=C2C1=O,C=CCN1C(=O)C(=O)c2ccccc2C1=O,"InChI=1S/C12H9NO3/c1-2-7-13-11(15)9-6-4-3-5-8(9)10(14)12(13)16/h2-6H,1,7H2",RFPACNBGGYBCGT-UHFFFAOYSA-N,5977,DTXSID20469711,DSSTox_Substance_Id,DTXSID20469711,"1,3,4(2H)-Isoquinolinetrione, 2-(2-propenyl)-"
3,C=CCN1SC2=CC=CC=C2C1=O,C=CCn1sc2ccccc2c1=O,"InChI=1S/C10H9NOS/c1-2-7-11-10(12)8-5-3-4-6-9(8)13-11/h2-6H,1,7H2",BUQJUCVPPUJQBJ-UHFFFAOYSA-N,5978,DTXSID70481206,DSSTox_Substance_Id,DTXSID70481206,"2-prop-2-enyl-1,2-benzothiazol-3-one"
4,CN1C(=O)C(=O)C2=CC=CC=C2C1=O,CN1C(=O)C(=O)c2ccccc2C1=O,"InChI=1S/C10H7NO3/c1-11-9(13)7-5-3-2-4-6(7)8(12)10(11)14/h2-5H,1H3",LSVJISCDJHIYOW-UHFFFAOYSA-N,5979,DTXSID90364926,DSSTox_Substance_Id,DTXSID90364926,"2-Methylisoquinoline-1,3,4(2H)-trione"
5,[O-][N+](=O)C1=CC=CC(=C1)C(=O)NC1=CC=CC2=C1C(=O)C(=O)NC2=O,O=C1NC(=O)c2cccc(NC(=O)c3cccc([N+](=O)[O-])c3)c2C1=O,"InChI=1S/C16H9N3O6/c20-13-12-10(15(22)18-16(13)23)5-2-6-11(12)17-14(21)8-3-1-4-9(7-8)19(24)25/h1-7H,(H,17,21)(H,18,22,23)",MUHRCQVERAKWFB-UHFFFAOYSA-N,5980,DTXSID60468602,DSSTox_Substance_Id,DTXSID60468602,"Benzamide, 3-nitro-N-(1,2,3,4-tetrahydro-1,3,4-trioxo-5-isoquinolinyl)-"
6,CC(=O)OCCN1C(=O)C2=C(C)N=C3C=CC(=CC3=C2C1=O)S(=O)(=O)N1CCOCC1,CC(=O)OCCN1C(=O)c2c(C)nc3ccc(S(=O)(=O)N4CCOCC4)cc3c2C1=O,"InChI=1S/C20H21N3O7S/c1-12-17-18(20(26)23(19(17)25)7-10-30-13(2)24)15-11-14(3-4-16(15)21-12)31(27,28)22-5-8-29-9-6-22/h3-4,11H,5-10H2,1-2H3",MWXJJTMEUGWKKY-UHFFFAOYSA-N,5981,DTXSID80458580,DSSTox_Substance_Id,DTXSID80458580,IVACHTIN
7,COC1=CC=C(CN2SC3=CC=CC=C3C2=O)C=C1,COc1ccc(Cn2sc3ccccc3c2=O)cc1,"InChI=1S/C15H13NO2S/c1-18-12-8-6-11(7-9-12)10-16-15(17)13-4-2-3-5-14(13)19-16/h2-9H,10H2,1H3",BBUMBHPLXMNIMZ-UHFFFAOYSA-N,5982,DTXSID50432574,DSSTox_Substance_Id,DTXSID50432574,"2-[(4-methoxyphenyl)methyl]-1,2-benzothiazol-3-one"
8,CCOC(=O)CN1CCN(CC2=CC=CC=C2)CC1,CCOC(=O)CN1CCN(Cc2ccccc2)CC1,"InChI=1S/C15H22N2O2/c1-2-19-15(18)13-17-10-8-16(9-11-17)12-14-6-4-3-5-7-14/h3-7H,2,8-13H2,1H3",CGEGJBMEYWWPNX-UHFFFAOYSA-N,5983,DTXSID90407903,DSSTox_Substance_Id,DTXSID90407903,ethyl 2-(4-benzylpiperazin-1-yl)acetate
9,O=C1N(CC2=CC=CC=C2)SC2=CC=CC=C12,O=c1c2ccccc2sn1Cc1ccccc1,"InChI=1S/C14H11NOS/c16-14-12-8-4-5-9-13(12)17-15(14)10-11-6-2-1-3-7-11/h1-9H,10H2",GTTHESNNWLOVLD-UHFFFAOYSA-N,5984,DTXSID90431485,DSSTox_Substance_Id,DTXSID90431485,"2-benzyl-1,2-benzothiazol-3-one"
10,BrC1=C(Br)C(Br)=C2NC(=O)C(=O)C2=C1,O=C1Nc2c(cc(Br)c(Br)c2Br)C1=O,"InChI=1S/C8H2Br3NO2/c9-3-1-2-6(5(11)4(3)10)12-8(14)7(2)13/h1H,(H,12,13,14)",IDGPYCSCVAFDEH-UHFFFAOYSA-N,5985,DTXSID90583130,DSSTox_Substance_Id,DTXSID90583130,"5,6,7-Tribromo-1H-indole-2,3-dione"
11,O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCCCC2)C1=O,O=C1Nc2ccc(S(=O)(=O)N3CCCCC3)cc2C1=O,"InChI=1S/C13H14N2O4S/c16-12-10-8-9(4-5-11(10)14-13(12)17)20(18,19)15-6-2-1-3-7-15/h4-5,8H,1-3,6-7H2,(H,14,16,17)",YATIWPMEKYVTAO-UHFFFAOYSA-N,5986,DTXSID40399501,DSSTox_Substance_Id,DTXSID40399501,"5-(Piperidine-1-sulfonyl)-1H-indole-2,3-dione"
12,NNC(=O)CN1CCN(CC2=CC=CC=C2)CC1,NNC(=O)CN1CCN(Cc2ccccc2)CC1,"InChI=1S/C13H20N4O/c14-15-13(18)11-17-8-6-16(7-9-17)10-12-4-2-1-3-5-12/h1-5H,6-11,14H2,(H,15,18)",HPORNZWVEBQIOT-UHFFFAOYSA-N,5987,DTXSID50429500,DSSTox_Substance_Id,DTXSID50429500,2-(4-Benzylpiperazin-1-yl)acetohydrazide
13,O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCCC2)C1=O,O=C1Nc2ccc(S(=O)(=O)N3CCCC3)cc2C1=O,"InChI=1S/C12H12N2O4S/c15-11-9-7-8(3-4-10(9)13-12(11)16)19(17,18)14-5-1-2-6-14/h3-4,7H,1-2,5-6H2,(H,13,15,16)",QKCWUYHXHMXOLG-UHFFFAOYSA-N,5988,DTXSID80399500,DSSTox_Substance_Id,DTXSID80399500,"5-(pyrrolidin-1-ylsulfonyl)indoline-2,3-dione"
14,CN1SC2=CC=CC=C2C1=O,Cn1sc2ccccc2c1=O,"InChI=1S/C8H7NOS/c1-9-8(10)6-4-2-3-5-7(6)11-9/h2-5H,1H3",RDWXSJCICPOOKO-UHFFFAOYSA-N,5989,DTXSID00325841,DSSTox_Substance_Id,DTXSID00325841,"2-Methyl-1,2-benzoisothiazolin-3-one"
15,CCOC(=O)CN1CCNCC1,CCOC(=O)CN1CCNCC1,"InChI=1S/C8H16N2O2/c1-2-12-8(11)7-10-5-3-9-4-6-10/h9H,2-7H2,1H3",MTFCXMJOGMHYAE-UHFFFAOYSA-N,5990,DTXSID30193070,DSSTox_Substance_Id,DTXSID30193070,Ethyl piperazine-1-acetate
16,NCC1=C2C=CC=CC2=CC2=CC=CC=C12,NCc1c2ccccc2cc2ccccc12,"InChI=1S/C15H13N/c16-10-15-13-7-3-1-5-11(13)9-12-6-2-4-8-14(12)15/h1-9H,10,16H2",MEQDVTFZLJSMPO-UHFFFAOYSA-N,5991,DTXSID20454662,DSSTox_Substance_Id,DTXSID20454662,9-Anthracenemethanamine
17,CCN1SC2=CC=CC=C2C1=O,CCn1sc2ccccc2c1=O,"InChI=1S/C9H9NOS/c1-2-10-9(11)7-5-3-4-6-8(7)12-10/h3-6H,2H2,1H3",RTMDCQYUXWCPQG-UHFFFAOYSA-N,5992,DTXSID90320320,DSSTox_Substance_Id,DTXSID90320320,"2-ethyl-1,2-benzothiazol-3-one"
18,NCC1=CC2=C(C=C1)C1=CC=CC=C1C2,NCc1ccc2c(c1)Cc1ccccc1-2,"InChI=1S/C14H13N/c15-9-10-5-6-14-12(7-10)8-11-3-1-2-4-13(11)14/h1-7H,8-9,15H2",GYSPZWULTNUUEJ-UHFFFAOYSA-N,5993,DTXSID70616970,DSSTox_Substance_Id,DTXSID70616970,1-(9H-Fluoren-2-yl)methanamine
19,CC(C)N1C(=O)N=C(C2=CC=C(C=C2)C(C)C)C2=C1C=CC(OCC#C)=C2,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C,"InChI=1S/C23H24N2O2/c1-6-13-27-19-11-12-21-20(14-19)22(24-23(26)25(21)16(4)5)18-9-7-17(8-10-18)15(2)3/h1,7-12,14-16H,13H2,2-5H3",RXVZJHDMMKTKDR-UHFFFAOYSA-N,5994,DTXSID20435799,DSSTox_Substance_Id,DTXSID20435799,1-(Propan-2-yl)-4-[4-(propan-2-yl)phenyl]-6-[(prop-2-yn-1-yl)oxy]quinazolin-2(1H)-one
20,CC(C)N1C(=O)N=C(C2=CC=C(C=C2)C(C)C)C2=C1C=CC(NCC#C)=C2,C#CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C,"InChI=1S/C23H25N3O/c1-6-13-24-19-11-12-21-20(14-19)22(25-23(27)26(21)16(4)5)18-9-7-17(8-10-18)15(2)3/h1,7-12,14-16,24H,13H2,2-5H3",QWJVHLKUOSQDLL-UHFFFAOYSA-N,5995,DTXSID30669487,DSSTox_Substance_Id,DTXSID30669487,1-(Propan-2-yl)-4-[4-(propan-2-yl)phenyl]-6-[(prop-2-yn-1-yl)amino]quinazolin-2(1H)-one
21,CC(C)N1C(=O)N=C(C2=CC=C(C=C2)C(C)C)C2=C1C=CC(O)=C2,CC(C)c1ccc(-c2nc(=O)n(C(C)C)c3ccc(O)cc23)cc1,"InChI=1S/C20H22N2O2/c1-12(2)14-5-7-15(8-6-14)19-17-11-16(23)9-10-18(17)22(13(3)4)20(24)21-19/h5-13,23H,1-4H3",OFKNILXLOVIKRS-UHFFFAOYSA-N,5996,DTXSID80669477,DSSTox_Substance_Id,DTXSID80669477,6-Hydroxy-1-(propan-2-yl)-4-[4-(propan-2-yl)phenyl]quinazolin-2(1H)-one
22,[Cd]=[Te],[Te-2],InChI=1S/Te/q-2,XSOKHXFFCGXDJZ-UHFFFAOYSA-N,5997,DTXSID0030950,DSSTox_Substance_Id,DTXSID0030950,Cadmium telluride
23,NC1=NNC=N1,N=c1nc[nH][nH]1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",KLSJWNVTNUYHDU-UHFFFAOYSA-N,5998,DTXSID0020076,DSSTox_Substance_Id,DTXSID0020076,Amitrole
24,[C-]#[O+],[C-]#[O+],InChI=1S/CO/c1-2,UGFAIRIUMAVXCW-UHFFFAOYSA-N,5999,DTXSID5027273,DSSTox_Substance_Id,DTXSID5027273,Carbon monoxide
