,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,O=C(N1CCCC(C1)C1=CC=CC=C1)C1=NC2=CC=CC=C2N=C1,O=C(c1cnc2ccccc2n1)N1CCCC(c2ccccc2)C1,"InChI=1S/C20H19N3O/c24-20(19-13-21-17-10-4-5-11-18(17)22-19)23-12-6-9-16(14-23)15-7-2-1-3-8-15/h1-5,7-8,10-11,13,16H,6,9,12,14H2",GYEMIIQPUQQSKV-UHFFFAOYSA-N,DTXSID00659113,DSSTox_Substance_Id,DTXSID00659113,(3-Phenylpiperidin-1-yl)(quinoxalin-2-yl)methanone
1,CC(C)(CNCC1=NC2=CC=CC=C2N=C1)C1=CC=CC=C1,CC(C)(CNCc1cnc2ccccc2n1)c1ccccc1,"InChI=1S/C19H21N3/c1-19(2,15-8-4-3-5-9-15)14-20-12-16-13-21-17-10-6-7-11-18(17)22-16/h3-11,13,20H,12,14H2,1-2H3",SHYGJSYYOPGWPB-UHFFFAOYSA-N,DTXSID30659121,DSSTox_Substance_Id,DTXSID30659121,2-Methyl-2-phenyl-N-[(quinoxalin-2-yl)methyl]propan-1-amine
2,CC(C)(CNC(=O)C1=NC2=CC=CC=C2N=C1)C1=CC=CC=C1,CC(C)(CNC(=O)c1cnc2ccccc2n1)c1ccccc1,"InChI=1S/C19H19N3O/c1-19(2,14-8-4-3-5-9-14)13-21-18(23)17-12-20-15-10-6-7-11-16(15)22-17/h3-12H,13H2,1-2H3,(H,21,23)",RIYTWZQVLDAJKG-UHFFFAOYSA-N,DTXSID60659114,DSSTox_Substance_Id,DTXSID60659114,N-(2-Methyl-2-phenylpropyl)quinoxaline-2-carboxamide
3,CC(C)(CNC(=O)C1=NC=C(N=C1)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(CNC(=O)c1cnc(-c2ccccc2)cn1)c1ccccc1,"InChI=1S/C21H21N3O/c1-21(2,17-11-7-4-8-12-17)15-24-20(25)19-14-22-18(13-23-19)16-9-5-3-6-10-16/h3-14H,15H2,1-2H3,(H,24,25)",VZGRSOMSXXSWIS-UHFFFAOYSA-N,DTXSID70659120,DSSTox_Substance_Id,DTXSID70659120,N-(2-Methyl-2-phenylpropyl)-5-phenylpyrazine-2-carboxamide
4,N[C@]1(CN[C@H](C1)C(O)=O)C(O)=O,NC1(C(=O)O)CNC(C(=O)O)C1,"InChI=1S/C6H10N2O4/c7-6(5(11)12)1-3(4(9)10)8-2-6/h3,8H,1-2,7H2,(H,9,10)(H,11,12)",XZFMJVJDSYRWDQ-UHFFFAOYSA-N,DTXSID10415500,DSSTox_Substance_Id,DTXSID10415500,"(2R,4R)-4-aminopyrrolidine-2,4-dicarboxylic acid"
5,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NSC2=CC=CC=C12,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,"InChI=1S/C24H32N4O2S/c29-21-17-24(9-3-4-10-24)18-22(30)28(21)12-6-5-11-26-13-15-27(16-14-26)23-19-7-1-2-8-20(19)31-25-23/h1-2,7-8H,3-6,9-18H2",ZFZPJDFBJFHYIV-UHFFFAOYSA-N,DTXSID50236559,DSSTox_Substance_Id,DTXSID50236559,Tiospirone hydrochloride
6,N[C@H](CCC(O)=O)C(O)=O,NC(CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",WHUUTDBJXJRKMK-UHFFFAOYSA-N,DTXSID1048675,DSSTox_Substance_Id,DTXSID1048675,D-Glutamic acid
7,O=C(NC1=C(N=C2C=CC=CN12)C1=CC=CC=C1)C1=CC=CC=C1,O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccccc1,"InChI=1S/C20H15N3O/c24-20(16-11-5-2-6-12-16)22-19-18(15-9-3-1-4-10-15)21-17-13-7-8-14-23(17)19/h1-14H,(H,22,24)",MFEAOWRPVOQOEV-UHFFFAOYSA-N,DTXSID60353680,DSSTox_Substance_Id,DTXSID60353680,"N-(2-phenylimidazo[1,2-a]pyridin-3-yl)benzamide"
8,[O-][N+](=O)C1=CC=C(C=C1)C(=O)NC1=CC(=NN1C1=CC=CC=C1)C1=CC=CC=C1,O=C(N=c1cc(-c2ccccc2)[nH]n1-c1ccccc1)c1ccc([N+](=O)[O-])cc1,"InChI=1S/C22H16N4O3/c27-22(17-11-13-19(14-12-17)26(28)29)23-21-15-20(16-7-3-1-4-8-16)24-25(21)18-9-5-2-6-10-18/h1-15,24H",JJHSQXKADVEMOL-UHFFFAOYSA-N,DTXSID60469437,DSSTox_Substance_Id,DTXSID60469437,DPAP
9,O=C(NC1=CC=CC=N1)C1=CC=CC=C1,O=C(N=c1cccc[nH]1)c1ccccc1,"InChI=1S/C12H10N2O/c15-12(10-6-2-1-3-7-10)14-11-8-4-5-9-13-11/h1-9H,(H,13,14,15)",LZIJKEIPCFEOLH-UHFFFAOYSA-N,DTXSID80277374,DSSTox_Substance_Id,DTXSID80277374,N-pyridin-2-ylbenzamide
