,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,ClC1=C(Cl)C=C2N=CNC2=C1,Clc1cc2nc[nH]c2cc1Cl,"InChI=1S/C7H4Cl2N2/c8-4-1-6-7(2-5(4)9)11-3-10-6/h1-3H,(H,10,11)",IPRDZAMUYMOJTA-UHFFFAOYSA-N,DTXSID40215090,DSSTox_Substance_Id,DTXSID40215090,"5,6-Dichloro-1H-benzimidazole"
1,CC1=CC=C(C=C1)N1C=CC=N1,Cc1ccc(-n2cccn2)cc1,"InChI=1S/C10H10N2/c1-9-3-5-10(6-4-9)12-8-2-7-11-12/h2-8H,1H3",XJYIPDKSWROWBM-UHFFFAOYSA-N,DTXSID00355628,DSSTox_Substance_Id,DTXSID00355628,1-p-Tolyl-1H-pyrazole
2,CCN1C(C)=NC2=C1C=CC(=C2)C#N,CCn1c(C)nc2cc(C#N)ccc21,"InChI=1S/C11H11N3/c1-3-14-8(2)13-10-6-9(7-12)4-5-11(10)14/h4-6H,3H2,1-2H3",CRSLXELXHYBDGN-UHFFFAOYSA-N,DTXSID10352289,DSSTox_Substance_Id,DTXSID10352289,1-Ethyl-2-methyl-1H-benzimidazole-5-carbonitrile
3,[H]C12C3C(C)(O)C(=O)C(C)=CC3(C)C(C)(C=C1C)C(=O)C2(C)O,CC1=CC2(C)C(C3C(C)=CC2(C)C(=O)C3(C)O)C(C)(O)C1=O,"InChI=1S/C18H24O4/c1-9-7-16(4)14(20)17(5,21)11(9)12-15(16,3)8-10(2)13(19)18(12,6)22/h7-8,11-12,21-22H,1-6H3",WBZCZIHIHOEFJK-UHFFFAOYSA-N,DTXSID20287194,DSSTox_Substance_Id,DTXSID20287194,MLS002667284
4,OC[C@H]1O[C@@H](OC2=CC3=C(C=C2)C=C(Br)C=C3)[C@H](O)[C@@H](O)[C@H]1O,OCC1OC(Oc2ccc3cc(Br)ccc3c2)C(O)C(O)C1O,"InChI=1S/C16H17BrO6/c17-10-3-1-9-6-11(4-2-8(9)5-10)22-16-15(21)14(20)13(19)12(7-18)23-16/h1-6,12-16,18-21H,7H2",NLRXQZJJCPRATR-UHFFFAOYSA-N,DTXSID30165959,DSSTox_Substance_Id,DTXSID30165959,6-Bromo-2-naphthyl-beta-galactopyranoside
5,COC1=CC=CC=C1\C=C1/C=CC2=CC=CC=C12,COc1ccccc1C=C1C=Cc2ccccc21,"InChI=1S/C17H14O/c1-18-17-9-5-3-7-15(17)12-14-11-10-13-6-2-4-8-16(13)14/h2-12H,1H3",OBWYFXPPDTYSBV-UHFFFAOYSA-N,DTXSID90418296,DSSTox_Substance_Id,DTXSID90418296,NSC86433
6,OC(=O)CN1C2=CC=CC=C2N=C1C(F)(F)F,O=C(O)Cn1c(C(F)(F)F)nc2ccccc21,"InChI=1S/C10H7F3N2O2/c11-10(12,13)9-14-6-3-1-2-4-7(6)15(9)5-8(16)17/h1-4H,5H2,(H,16,17)",GPOYZFXQCCJBTF-UHFFFAOYSA-N,DTXSID60350174,DSSTox_Substance_Id,DTXSID60350174,[2-(Trifluoromethyl)-1H-benzimidazol-1-yl]acetic acid
7,C(C1COC(CN2CCOCC2)CO1)N1CCOCC1,C1CN(CC2COC(CN3CCOCC3)CO2)CCO1,"InChI=1S/C14H26N2O4/c1-5-17-6-2-15(1)9-13-11-20-14(12-19-13)10-16-3-7-18-8-4-16/h13-14H,1-12H2",WLCAKOIADARDFN-UHFFFAOYSA-N,DTXSID10304389,DSSTox_Substance_Id,DTXSID10304389,"4,4'-[1,4-Dioxane-2,5-diylbis(methylene)]bis(morpholine)"
8,CCOC(=O)C1=C(C)NC(=O)NC1C(C)C,CCOC(=O)C1C(C)=NC(=O)NC1C(C)C,"InChI=1S/C11H18N2O3/c1-5-16-10(14)8-7(4)12-11(15)13-9(8)6(2)3/h6,8-9H,5H2,1-4H3,(H,13,15)",HQQYOPNAFLFDFY-UHFFFAOYSA-N,DTXSID60394755,DSSTox_Substance_Id,DTXSID60394755,"ethyl 4-isopropyl-6-methyl-2-oxo-1,2,3,4-tetrahydro-5-pyrimidinecarboxylate"
9,CC(C)N1C=C2C(=N1)N=CN=C2N,CC(C)n1cc2c(=N)[nH]cnc2n1,"InChI=1S/C8H11N5/c1-5(2)13-3-6-7(9)10-4-11-8(6)12-13/h3-5H,1-2H3,(H2,9,10,11,12)",PERFWRNKWQXMCO-UHFFFAOYSA-N,DTXSID00286781,DSSTox_Substance_Id,DTXSID00286781,"2-(propan-2-yl)-2h-pyrazolo[3,4-d]pyrimidin-4-amine"
10,ClC1=NC=CC(NCC2=CC=CC=C2)=N1,Clc1nc(=NCc2ccccc2)cc[nH]1,"InChI=1S/C11H10ClN3/c12-11-13-7-6-10(15-11)14-8-9-4-2-1-3-5-9/h1-7H,8H2,(H,13,14,15)",QWRADTLPANSRDT-UHFFFAOYSA-N,DTXSID00364856,DSSTox_Substance_Id,DTXSID00364856,N-benzyl-2-chloropyrimidin-4-amine
11,COC1=CC=C(NS(=O)(=O)N2CCCCC2)C=C1,COc1ccc(NS(=O)(=O)N2CCCCC2)cc1,"InChI=1S/C12H18N2O3S/c1-17-12-7-5-11(6-8-12)13-18(15,16)14-9-3-2-4-10-14/h5-8,13H,2-4,9-10H2,1H3",IQEBYJQSHLKHON-UHFFFAOYSA-N,DTXSID00279719,DSSTox_Substance_Id,DTXSID00279719,n-(4-methoxyphenyl)piperidine-1-sulfonamide
12,COC1=CC=C(NC2=C(OC)C(=O)C(NC3=CC=C(OC)C=C3)=C(OC)C2=O)C=C1,COC1=C(Nc2ccc(OC)cc2)C(=O)C(OC)=C(Nc2ccc(OC)cc2)C1=O,"InChI=1S/C22H22N2O6/c1-27-15-9-5-13(6-10-15)23-17-19(25)22(30-4)18(20(26)21(17)29-3)24-14-7-11-16(28-2)12-8-14/h5-12,23-24H,1-4H3",KXKVDCPZWGUXLJ-UHFFFAOYSA-N,DTXSID60294206,DSSTox_Substance_Id,DTXSID60294206,MLS002695281
13,[125I]C1=CC=C(CCNC(=N)SCCCC2=CN=CN2)C=C1,N=C(NCCc1ccc(I)cc1)SCCCc1c[nH]cn1,"InChI=1S/C15H19IN4S/c16-13-5-3-12(4-6-13)7-8-19-15(17)21-9-1-2-14-10-18-11-20-14/h3-6,10-11H,1-2,7-9H2,(H2,17,19)(H,18,20)",UBHYDQAARZKHEZ-UHFFFAOYSA-N,DTXSID3043736,DSSTox_Substance_Id,DTXSID3043736,Iodophenpropit
14,OC(=O)C1=CC=CC=C1C(=O)NC1=NC=CS1,O=C(O)c1ccccc1C(=O)N=c1[nH]ccs1,"InChI=1S/C11H8N2O3S/c14-9(13-11-12-5-6-17-11)7-3-1-2-4-8(7)10(15)16/h1-6H,(H,15,16)(H,12,13,14)",IVSBFRVZTXHJLR-UHFFFAOYSA-N,DTXSID10311356,DSSTox_Substance_Id,DTXSID10311356,"2-(1,3-thiazol-2-ylcarbamoyl)benzoic acid"
15,CC1(C)CC(=O)C(CCC(=O)C2=CC=CC=C2)C(C)(C)N1,CC1(C)CC(=O)C(CCC(=O)c2ccccc2)C(C)(C)N1,"InChI=1S/C18H25NO2/c1-17(2)12-16(21)14(18(3,4)19-17)10-11-15(20)13-8-6-5-7-9-13/h5-9,14,19H,10-12H2,1-4H3",MZDWKTUOMIQWKM-UHFFFAOYSA-N,DTXSID50390544,DSSTox_Substance_Id,DTXSID50390544,"2,2,6,6-tetramethyl-3-(3-oxo-3-phenylpropyl)piperidin-4-one"
16,[O-][N+](=O)C1=CC=CC=C1NC1=CN=CC=C1,O=[N+]([O-])c1ccccc1Nc1cccnc1,"InChI=1S/C11H9N3O2/c15-14(16)11-6-2-1-5-10(11)13-9-4-3-7-12-8-9/h1-8,13H",SXVSSCAHINUDRC-UHFFFAOYSA-N,DTXSID90396424,DSSTox_Substance_Id,DTXSID90396424,N-(2-nitrophenyl)pyridin-3-amine
17,CCOC1=CC(=CC(OCC)=C1)C(O)=O,CCOc1cc(OCC)cc(C(=O)O)c1,"InChI=1S/C11H14O4/c1-3-14-9-5-8(11(12)13)6-10(7-9)15-4-2/h5-7H,3-4H2,1-2H3,(H,12,13)",FCSNGXDTYSQXPA-UHFFFAOYSA-N,DTXSID00352218,DSSTox_Substance_Id,DTXSID00352218,"3,5-diethoxybenzoic acid"
18,CN1C=CC(OCC=C)=NC1=O,C=CCOc1ccn(C)c(=O)n1,"InChI=1S/C8H10N2O2/c1-3-6-12-7-4-5-10(2)8(11)9-7/h3-5H,1,6H2,2H3",MAASMNPMEJWKDV-UHFFFAOYSA-N,DTXSID10293345,DSSTox_Substance_Id,DTXSID10293345,1-methyl-4-prop-2-enoxypyrimidin-2-one
19,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,O=C(C(O)CO)C(O)CO,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h3-4,6-9H,1-2H2",WXYXERHRDKEISL-UHFFFAOYSA-N,DTXSID0023745,DSSTox_Substance_Id,DTXSID0023745,D-Xylose
20,CC1=NN(C(=O)C2=CC=NC=C2)C(C)=C1,Cc1cc(C)n(C(=O)c2ccncc2)n1,"InChI=1S/C11H11N3O/c1-8-7-9(2)14(13-8)11(15)10-3-5-12-6-4-10/h3-7H,1-2H3",VXESXFNPRURVHH-UHFFFAOYSA-N,DTXSID70195139,DSSTox_Substance_Id,DTXSID70195139,"1H-Pyrazole, 3,5-dimethyl-1-(4-pyridinylcarbonyl)-"
21,COC1=CC=C(C=C1)C1=NC2=CC=CC=C2C(=O)N1C1=CN=CC=C1,COc1ccc(-c2nc3ccccc3c(=O)n2-c2cccnc2)cc1,"InChI=1S/C20H15N3O2/c1-25-16-10-8-14(9-11-16)19-22-18-7-3-2-6-17(18)20(24)23(19)15-5-4-12-21-13-15/h2-13H,1H3",YODCFPOOWUOURW-UHFFFAOYSA-N,DTXSID30356709,DSSTox_Substance_Id,DTXSID30356709,2-(4-Methoxy-phenyl)-3-pyridin-3-yl-3H-quinazolin-4-one
22,NC1=CC=C(CN2C(=O)C3=CC=CC=C3C2=O)C=C1,Nc1ccc(CN2C(=O)c3ccccc3C2=O)cc1,"InChI=1S/C15H12N2O2/c16-11-7-5-10(6-8-11)9-17-14(18)12-3-1-2-4-13(12)15(17)19/h1-8H,9,16H2",FPSRUFWSIDRGBT-UHFFFAOYSA-N,DTXSID80353586,DSSTox_Substance_Id,DTXSID80353586,4-N-Phthaloylglyaminomethyl aniline
23,O=C1N(C(=O)C2=CC=CC=C12)C1=CC=CC=C1N1C(=O)C2=CC=CC=C2C1=O,O=C1c2ccccc2C(=O)N1c1ccccc1N1C(=O)c2ccccc2C1=O,InChI=1S/C22H12N2O4/c25-19-13-7-1-2-8-14(13)20(26)23(19)17-11-5-6-12-18(17)24-21(27)15-9-3-4-10-16(15)22(24)28/h1-12H,QMYXYGOUFQPVGC-UHFFFAOYSA-N,DTXSID70191318,DSSTox_Substance_Id,DTXSID70191318,"1,2-Bis(phthalamido)benzene"
