,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CC1=CC2=C(OC(=O)C(=C2)C(O)=O)C=C1,Cc1ccc2oc(=O)c(C(=O)O)cc2c1,"InChI=1S/C11H8O4/c1-6-2-3-9-7(4-6)5-8(10(12)13)11(14)15-9/h2-5H,1H3,(H,12,13)",FJICLQQBBFWGMZ-UHFFFAOYSA-N,5800,DTXSID00145066,DSSTox_Substance_Id,DTXSID00145066,"2H-1-Benzopyran-3-carboxylic acid, 6-methyl-2-oxo-"
1,COC(=O)CNS(=O)(=O)C1=CC=C(C)C=C1,COC(=O)CNS(=O)(=O)c1ccc(C)cc1,"InChI=1S/C10H13NO4S/c1-8-3-5-9(6-4-8)16(13,14)11-7-10(12)15-2/h3-6,11H,7H2,1-2H3",GYQBPYXMRNEAKZ-UHFFFAOYSA-N,5801,DTXSID50340246,DSSTox_Substance_Id,DTXSID50340246,Methyl 2-(4-methylphenylsulfonamido)acetate
2,CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)OCC1=CC=CC=C1,Cc1ccc(S(=O)(=O)NCC(=O)OCc2ccccc2)cc1,"InChI=1S/C16H17NO4S/c1-13-7-9-15(10-8-13)22(19,20)17-11-16(18)21-12-14-5-3-2-4-6-14/h2-10,17H,11-12H2,1H3",UDLIDGRREQSGLX-UHFFFAOYSA-N,5802,DTXSID60297853,DSSTox_Substance_Id,DTXSID60297853,benzyl 2-{[(4-methylphenyl)sulfonyl]amino}acetate
3,OP(O)(=O)C1=CC=CC=C1,O=[PH](=O)(O)c1ccccc1,"InChI=1S/C6H6O3P/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H,7,8,9)",XAXOYMRVGCLCMI-UHFFFAOYSA-N,5803,DTXSID2044399,DSSTox_Substance_Id,DTXSID2044399,Phenylphosphonic acid
4,COC(=O)C1=CC=C(NCC2=CC=CC=C2)C=C1,COC(=O)c1ccc(NCc2ccccc2)cc1,"InChI=1S/C15H15NO2/c1-18-15(17)13-7-9-14(10-8-13)16-11-12-5-3-2-4-6-12/h2-10,16H,11H2,1H3",LFUBRMQHWKUBDF-UHFFFAOYSA-N,5804,DTXSID50560144,DSSTox_Substance_Id,DTXSID50560144,Methyl 4-(benzylamino)benzoate
5,O[I](=O)=O,O[I+2](O)O,InChI=1S/H3IO3/c2-1(3)4/h2-4H/q+2,VNFOOPCKMZASMJ-UHFFFAOYSA-N,5805,DTXSID2064812,DSSTox_Substance_Id,DTXSID2064812,Iodic acid  (HIO3)
6,O[Br](=O)=O,O[Br+2](O)O,InChI=1S/BrH3O3/c2-1(3)4/h2-4H/q+2,DYRKUKBTNINVOS-UHFFFAOYSA-N,5806,DTXSID7064861,DSSTox_Substance_Id,DTXSID7064861,Bromic acid
7,COC1=CC=CC(OC)=C1C(O)=O,COc1cccc(OC)c1C(=O)O,"InChI=1S/C9H10O4/c1-12-6-4-3-5-7(13-2)8(6)9(10)11/h3-5H,1-2H3,(H,10,11)",MBIZFBDREVRUHY-UHFFFAOYSA-N,5807,DTXSID4046999,DSSTox_Substance_Id,DTXSID4046999,"2,6-Dimethoxybenzoic acid"
8,CN1C(=O)C2=CC=CC=C2S1(=O)=O,CN1C(=O)c2ccccc2S1(=O)=O,"InChI=1S/C8H7NO3S/c1-9-8(10)6-4-2-3-5-7(6)13(9,11)12/h2-5H,1H3",DDIIAJRLFATEEE-UHFFFAOYSA-N,5808,DTXSID10165639,DSSTox_Substance_Id,DTXSID10165639,N-Methylsaccharin
9,[Na+].[Na+].[O-]C(=O)CC([O-])=O,O=C(O)CC(=O)O,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",OFOBLEOULBTSOW-UHFFFAOYSA-N,5809,DTXSID8059712,DSSTox_Substance_Id,DTXSID8059712,"Propanedioic acid, disodium salt"
