,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,NC(=O)C1=C(N)C2=C(O1)C=CC(Cl)=C2,NC(=O)c1oc2ccc(Cl)cc2c1N,"InChI=1S/C9H7ClN2O2/c10-4-1-2-6-5(3-4)7(11)8(14-6)9(12)13/h1-3H,11H2,(H2,12,13)",DSULSHPYVGTEJW-UHFFFAOYSA-N,15175,DTXSID40346272,DSSTox_Substance_Id,DTXSID40346272,3-Amino-5-chloro-1-benzofuran-2-carboxamide
1,CC1=C(C#N)C2=NC3=CC=CC=C3N2C(Cl)=C1,Cc1cc(Cl)n2c(nc3ccccc32)c1C#N,"InChI=1S/C13H8ClN3/c1-8-6-12(14)17-11-5-3-2-4-10(11)16-13(17)9(8)7-15/h2-6H,1H3",AKFXQYMORAUSBD-UHFFFAOYSA-N,15176,DTXSID30326705,DSSTox_Substance_Id,DTXSID30326705,"1-Chloro-3-methylpyrido[1,2-a]benzimidazole-4-carbonitrile"
2,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)C(=O)N1CCN(C)CC1,CCN(CC)C(=O)N1CCN(C)CC1,"InChI=1S/C10H21N3O/c1-4-12(5-2)10(14)13-8-6-11(3)7-9-13/h4-9H2,1-3H3",RCKMWOKWVGPNJF-UHFFFAOYSA-N,15177,DTXSID4045555,DSSTox_Substance_Id,DTXSID4045555,Diethylcarbamazine citrate
3,OCC1=CC=C(O1)C(=O)NCC(O)=O,O=C(O)CNC(=O)c1ccc(CO)o1,"InChI=1S/C8H9NO5/c10-4-5-1-2-6(14-5)8(13)9-3-7(11)12/h1-2,10H,3-4H2,(H,9,13)(H,11,12)",HBULKUDERNWOBN-UHFFFAOYSA-N,15178,DTXSID5033096,DSSTox_Substance_Id,DTXSID5033096,5-(Hydroxymethyl-2-furoyl)glycine
4,Cl.Cl.CNCCC1=CC=CC=N1,CNCCc1ccccn1,"InChI=1S/C8H12N2/c1-9-7-5-8-4-2-3-6-10-8/h2-4,6,9H,5,7H2,1H3",UUQMNUMQCIQDMZ-UHFFFAOYSA-N,15179,DTXSID10204355,DSSTox_Substance_Id,DTXSID10204355,Betahistine hydrochloride [USAN:USP]
5,NC1=C(C#N)C(C#N)(C#N)C(N1C1=CC=CC=C1)C1=CC=CC=C1,N#CC1C(=N)N(c2ccccc2)C(c2ccccc2)C1(C#N)C#N,"InChI=1S/C19H13N5/c20-11-16-18(23)24(15-9-5-2-6-10-15)17(19(16,12-21)13-22)14-7-3-1-4-8-14/h1-10,16-17,23H",IOGNNHUAYOMTIU-UHFFFAOYSA-N,15180,DTXSID40327743,DSSTox_Substance_Id,DTXSID40327743,NSC681755
6,O=C1CC2=CC=CC3=C2C1=CC=C3,O=C1Cc2cccc3cccc1c23,"InChI=1S/C12H8O/c13-11-7-9-5-1-3-8-4-2-6-10(11)12(8)9/h1-6H,7H2",JBXIOAKUBCTDES-UHFFFAOYSA-N,15181,DTXSID50176885,DSSTox_Substance_Id,DTXSID50176885,1-Acenaphthenone
7,CCOC(=O)C1=C(O)C2=CC=CC=C2N(C)C1=O,CCOC(=O)c1c(O)c2ccccc2n(C)c1=O,"InChI=1S/C13H13NO4/c1-3-18-13(17)10-11(15)8-6-4-5-7-9(8)14(2)12(10)16/h4-7,15H,3H2,1-2H3",IGIHLDXSSGANGR-UHFFFAOYSA-N,15182,DTXSID60206122,DSSTox_Substance_Id,DTXSID60206122,"3-Quinolinecarboxylic acid, 1,2-dihydro-4-hydroxy-1-methyl-2-oxo-, ethyl ester"
8,S=C1NN=C(O1)C1COC2=CC=CC=C2O1,S=c1[nH]nc(C2COc3ccccc3O2)o1,"InChI=1S/C10H8N2O3S/c16-10-12-11-9(15-10)8-5-13-6-3-1-2-4-7(6)14-8/h1-4,8H,5H2,(H,12,16)",FRTASWZYMMCPJW-UHFFFAOYSA-N,15183,DTXSID10385476,DSSTox_Substance_Id,DTXSID10385476,"5-(2,3-dihydro-1,4-benzodioxin-2-yl)-1,3,4-oxadiazole-2-thiol"
9,CC1=CC(C)(C)NC2=C1C=CC=C2,CC1=CC(C)(C)Nc2ccccc21,"InChI=1S/C12H15N/c1-9-8-12(2,3)13-11-7-5-4-6-10(9)11/h4-8,13H,1-3H3",ZNRLMGFXSPUZNR-UHFFFAOYSA-N,15184,DTXSID0025070,DSSTox_Substance_Id,DTXSID0025070,"1,2-Dihydro-2,2,4-trimethylquinoline"
