,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CC1=CC(C)(C)NC2=C1C=C(OC(=O)CN1C(=O)CCC1=O)C=C2,CC1=CC(C)(C)Nc2ccc(OC(=O)Cn3c(O)ccc3O)cc21,"InChI=1S/C18H20N2O4/c1-11-9-18(2,3)19-14-5-4-12(8-13(11)14)24-17(23)10-20-15(21)6-7-16(20)22/h4-9,19,21-22H,10H2,1-3H3",CCOXYVBKHPYWBR-UHFFFAOYSA-N,DTXSID60365102,DSSTox_Substance_Id,DTXSID60365102,"(2,2,4-trimethyl-1H-quinolin-6-yl) 2-(2,5-dioxopyrrolidin-1-yl)acetate"
1,CC1=C2N=CC=CC2=C(C=C1)[N+]([O-])=O,Cc1ccc([N+](=O)[O-])c2cccnc12,"InChI=1S/C10H8N2O2/c1-7-4-5-9(12(13)14)8-3-2-6-11-10(7)8/h2-6H,1H3",JJGAHJWKYOSGEU-UHFFFAOYSA-N,DTXSID90289100,DSSTox_Substance_Id,DTXSID90289100,8-Methyl-5-nitroquinoline
2,Cl.CN1CCC(CC1)OC(=O)C1=CC=CC=C1,CN1CCC(OC(=O)c2ccccc2)CC1,"InChI=1S/C13H17NO2/c1-14-9-7-12(8-10-14)16-13(15)11-5-3-2-4-6-11/h2-6,12H,7-10H2,1H3",ITBIONVQXMUSAI-UHFFFAOYSA-N,DTXSID80193368,DSSTox_Substance_Id,DTXSID80193368,"4-Piperidinol, 1-methyl-, benzoate, hydrochloride"
3,ClC1=NC=C2NC=NC2=N1,Clc1ncc2[nH]cnc2n1,"InChI=1S/C5H3ClN4/c6-5-7-1-3-4(10-5)9-2-8-3/h1-2H,(H,7,8,9,10)",JBMBVWROWJGFMG-UHFFFAOYSA-N,DTXSID60333967,DSSTox_Substance_Id,DTXSID60333967,2-chloro-9H-purine
4,COC1=CC(=CC(OC)=C1O)C(=O)C(=O)C1=CC(OC)=C(O)C(OC)=C1,COc1cc(C(=O)C(=O)c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,"InChI=1S/C18H18O8/c1-23-11-5-9(6-12(24-2)17(11)21)15(19)16(20)10-7-13(25-3)18(22)14(8-10)26-4/h5-8,21-22H,1-4H3",BVROSQBQXJYCOZ-UHFFFAOYSA-N,DTXSID70280413,DSSTox_Substance_Id,DTXSID70280413,Syringil
5,ClC1=CC2=C(NC(=O)N=C2C2=CC=CC=C2)C=C1,O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1,"InChI=1S/C14H9ClN2O/c15-10-6-7-12-11(8-10)13(17-14(18)16-12)9-4-2-1-3-5-9/h1-8H,(H,16,17,18)",DBKIXSRJBMRMMF-UHFFFAOYSA-N,DTXSID30197371,DSSTox_Substance_Id,DTXSID30197371,"2(1H)-Quinazolinone, 6-chloro-4-phenyl-"
6,NC1=C(C=C(C=C1Cl)S(N)(=O)=O)S(N)(=O)=O,Nc1c(Cl)cc(S(N)(=O)=O)cc1S(N)(=O)=O,"InChI=1S/C6H8ClN3O4S2/c7-4-1-3(15(9,11)12)2-5(6(4)8)16(10,13)14/h1-2H,8H2,(H2,9,11,12)(H2,10,13,14)",SWTAIRDZECAFHR-UHFFFAOYSA-N,DTXSID10280492,DSSTox_Substance_Id,DTXSID10280492,"4-amino-5-chlorobenzene-1,3-disulfonamide"
7,COC1=C(OC)C=C(CCN2C(=O)CSC2=S)C=C1,COc1ccc(CCn2c(O)csc2=S)cc1OC,"InChI=1S/C13H15NO3S2/c1-16-10-4-3-9(7-11(10)17-2)5-6-14-12(15)8-19-13(14)18/h3-4,7-8,15H,5-6H2,1-2H3",NXOIJJJUNWHYRN-UHFFFAOYSA-N,DTXSID80302377,DSSTox_Substance_Id,DTXSID80302377,"Rhodanine, 3-(3,4-dimethoxyphenethyl)-"
8,COC1=CC2=CC(C#N)=C(Cl)N=C2C=C1,COc1ccc2nc(Cl)c(C#N)cc2c1,"InChI=1S/C11H7ClN2O/c1-15-9-2-3-10-7(5-9)4-8(6-13)11(12)14-10/h2-5H,1H3",AMFXVCDHDIEGIM-UHFFFAOYSA-N,DTXSID80357721,DSSTox_Substance_Id,DTXSID80357721,2-Chloro-6-methoxyquinoline-3-carbonitrile
9,CS(O)(=O)=O.CC1=CC=C2N3CCNC4CCCC(=C34)C2=C1,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,"InChI=1S/C15H18N2/c1-10-5-6-14-12(9-10)11-3-2-4-13-15(11)17(14)8-7-16-13/h5-6,9,13,16H,2-4,7-8H2,1H3",IWVRVEIKCBFZNF-UHFFFAOYSA-N,DTXSID6045660,DSSTox_Substance_Id,DTXSID6045660,Pirlindole mesylate
10,[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,"InChI=1S/C23H30NO3/c1-16(2)24(5,17(3)4)14-15-26-23(25)22-18-10-6-8-12-20(18)27-21-13-9-7-11-19(21)22/h6-13,16-17,22H,14-15H2,1-5H3/q+1",VVWYOYDLCMFIEM-UHFFFAOYSA-N,DTXSID2023519,DSSTox_Substance_Id,DTXSID2023519,Propantheline bromide
11,CCCCN(C)C1=CC=C(C=C1)[N+]([O-])=O,CCCCN(C)c1ccc([N+](=O)[O-])cc1,"InChI=1S/C11H16N2O2/c1-3-4-9-12(2)10-5-7-11(8-6-10)13(14)15/h5-8H,3-4,9H2,1-2H3",MITUDHRPTJOEPE-UHFFFAOYSA-N,DTXSID30393533,DSSTox_Substance_Id,DTXSID30393533,N-butyl-N-methyl-4-nitroaniline
12,CCN1C(=S)NN=C1C1=CC=C(F)C=C1,CCn1c(-c2ccc(F)cc2)n[nH]c1=S,"InChI=1S/C10H10FN3S/c1-2-14-9(12-13-10(14)15)7-3-5-8(11)6-4-7/h3-6H,2H2,1H3,(H,13,15)",GOJHSRQOQIHNJX-UHFFFAOYSA-N,DTXSID20350256,DSSTox_Substance_Id,DTXSID20350256,"4-ethyl-5-(4-fluorophenyl)-4H-1,2,4-triazole-3-thiol"
13,OC(=O)CCCNS(=O)(=O)C1=CC=CC=C1,O=C(O)CCCNS(=O)(=O)c1ccccc1,"InChI=1S/C10H13NO4S/c12-10(13)7-4-8-11-16(14,15)9-5-2-1-3-6-9/h1-3,5-6,11H,4,7-8H2,(H,12,13)",MOGAUQWSGDNMAS-UHFFFAOYSA-N,DTXSID20327024,DSSTox_Substance_Id,DTXSID20327024,4-[(phenylsulfonyl)amino]butanoic acid
14,CN1N=C(CC1=O)C(C)(C)C,Cn1[nH]c(C(C)(C)C)cc1=O,"InChI=1S/C8H14N2O/c1-8(2,3)6-5-7(11)10(4)9-6/h5,9H,1-4H3",LJLSQPRMLDARKG-UHFFFAOYSA-N,DTXSID70370883,DSSTox_Substance_Id,DTXSID70370883,"5-tert-Butyl-2-methyl-2,4-dihydro-3H-pyrazol-3-one"
15,OS(O)(=O)=O.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",XWTYSIMOBUGWOL-UHFFFAOYSA-N,DTXSID3045437,DSSTox_Substance_Id,DTXSID3045437,Terbutaline hemisulfate
16,CN(CC1=CC=CC=C1)C(=O)C1=CC=CC=C1Br,CN(Cc1ccccc1)C(=O)c1ccccc1Br,"InChI=1S/C15H14BrNO/c1-17(11-12-7-3-2-4-8-12)15(18)13-9-5-6-10-14(13)16/h2-10H,11H2,1H3",CGYAEGNOMBJVDQ-UHFFFAOYSA-N,DTXSID10346704,DSSTox_Substance_Id,DTXSID10346704,N-Benzyl-2-bromo-N-methylbenzamide
