,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,COC1=C(OC(C)=O)C2=C(C=C(Cl)C=C2)C(OC(C)=O)=C1OC,COc1c(OC)c(OC(C)=O)c2cc(Cl)ccc2c1OC(C)=O,"InChI=1S/C16H15ClO6/c1-8(18)22-13-11-6-5-10(17)7-12(11)14(23-9(2)19)16(21-4)15(13)20-3/h5-7H,1-4H3",IFWMVQUGSGWCRP-UHFFFAOYSA-N,DTXSID00238563,DSSTox_Substance_Id,DTXSID00238563,Lonapalene
1,[O-][N+](=O)C1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=CC=C1)C1=CC=CC=C1,O=[N+]([O-])c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,"InChI=1S/C21H15N3O2/c25-24(26)18-13-11-17(12-14-18)21-22-19(15-7-3-1-4-8-15)20(23-21)16-9-5-2-6-10-16/h1-14H,(H,22,23)",NQMNVUPMXVNJJJ-UHFFFAOYSA-N,DTXSID50360964,DSSTox_Substance_Id,DTXSID50360964,"2-(4-nitrophenyl)-4,5-diphenyl-1H-imidazole"
2,CCN1C=CC(=O)N2N=C(C=C12)C1=CC=CC=C1,CCn1ccc(=O)n2nc(-c3ccccc3)cc12,"InChI=1S/C14H13N3O/c1-2-16-9-8-14(18)17-13(16)10-12(15-17)11-6-4-3-5-7-11/h3-10H,2H2,1H3",JEWOUZIOCRUZPT-UHFFFAOYSA-N,DTXSID70236016,DSSTox_Substance_Id,DTXSID70236016,"4-Ethyl-4,7-dihydro-2-phenylpyrazolo(1,5-a)pyrimidin-7-one"
3,OC(=O)C1=CC=C(CN(CC2=CC(F)=CC=C2)C2=CC=C(OCC3=NC4=CC=CC=C4C=C3)C=C2)C=C1,O=C(O)c1ccc(CN(Cc2cccc(F)c2)c2ccc(OCc3ccc4ccccc4n3)cc2)cc1,"InChI=1S/C31H25FN2O3/c32-26-6-3-4-23(18-26)20-34(19-22-8-10-25(11-9-22)31(35)36)28-14-16-29(17-15-28)37-21-27-13-12-24-5-1-2-7-30(24)33-27/h1-18H,19-21H2,(H,35,36)",KRCUWCAUDKTMPB-UHFFFAOYSA-N,DTXSID50158106,DSSTox_Substance_Id,DTXSID50158106,Eth 615
4,COC1=C(O)C=CC(=C1)[C@H]1OC2=C(O[C@@H]1CO)C=CC(=C2)[C@H]1OC2=C(C(O)=CC(O)=C2)C(=O)[C@@H]1O,COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,"InChI=1S/C25H22O10/c1-32-17-6-11(2-4-14(17)28)24-20(10-26)33-16-5-3-12(7-18(16)34-24)25-23(31)22(30)21-15(29)8-13(27)9-19(21)35-25/h2-9,20,23-29,31H,10H2,1H3",SEBFKMXJBCUCAI-UHFFFAOYSA-N,DTXSID8026018,DSSTox_Substance_Id,DTXSID8026018,Silybin
5,CC(C)CCCCCCCOC(=O)C1=C(N)C=CC(O)=C1,CC(C)CCCCCCCOC(=O)c1cc(O)ccc1N,"InChI=1S/C17H27NO3/c1-13(2)8-6-4-3-5-7-11-21-17(20)15-12-14(19)9-10-16(15)18/h9-10,12-13,19H,3-8,11,18H2,1-2H3",WQDDSULPVSBTBO-UHFFFAOYSA-N,DTXSID40164135,DSSTox_Substance_Id,DTXSID40164135,Isodecyl 5-hydroxyanthranilate
6,Cl.CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1,CN(C)CCOC(=O)COc1ccc(Cl)cc1,"InChI=1S/C12H16ClNO3/c1-14(2)7-8-16-12(15)9-17-11-5-3-10(13)4-6-11/h3-6H,7-9H2,1-2H3",XZTYGFHCIAKPGJ-UHFFFAOYSA-N,DTXSID8045141,DSSTox_Substance_Id,DTXSID8045141,Meclofenoxate hydrochloride
7,COC(=O)C1=CC=CC=C1NC1=CC(=O)C(=O)C2=CC=CC=C12,COC(=O)c1ccccc1N=C1CC(=O)C(=O)c2ccccc21,"InChI=1S/C18H13NO4/c1-23-18(22)13-8-4-5-9-14(13)19-15-10-16(20)17(21)12-7-3-2-6-11(12)15/h2-9H,10H2,1H3",QTCCDGZBNBJQNU-UHFFFAOYSA-N,DTXSID80150875,DSSTox_Substance_Id,DTXSID80150875,"Methyl 2-((3,4-dihydro-3,4-dioxo-1-naphthalenyl)amino)benzoate"
8,CCN1C(=S)N(C(=O)C1(C)C)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(O)C=C1,CCN1C(=S)N(c2ccc(N3CCN(c4ccc(O)cc4)CC3)cc2)C(=O)C1(C)C,"InChI=1S/C23H28N4O2S/c1-4-26-22(30)27(21(29)23(26,2)3)19-7-5-17(6-8-19)24-13-15-25(16-14-24)18-9-11-20(28)12-10-18/h5-12,28H,4,13-16H2,1-3H3",AHWDHLCCXRVAIC-UHFFFAOYSA-N,DTXSID10160583,DSSTox_Substance_Id,DTXSID10160583,R 68151
9,C[C@H]1C[C@](O)(CCO1)C1=CSC(SC2=CC3=C(C=C2)N(C)C(=O)C3)=C1,CC1CC(O)(c2csc(Sc3ccc4c(c3)cc(O)n4C)c2)CCO1,"InChI=1S/C19H21NO3S2/c1-12-10-19(22,5-6-23-12)14-9-18(24-11-14)25-15-3-4-16-13(7-15)8-17(21)20(16)2/h3-4,7-9,11-12,21-22H,5-6,10H2,1-2H3",QTBORZTXLQKXPL-UHFFFAOYSA-N,DTXSID50432998,DSSTox_Substance_Id,DTXSID50432998,"5-[4-[(2S,4R)-4-hydroxy-2-methyloxan-4-yl]thiophen-2-yl]sulfanyl-1-methyl-3H-indol-2-one"
