,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,"InChI=1S/C13H18O5S/c1-5-16-12-13(2,3)10-8-9(18-19(4,14)15)6-7-11(10)17-12/h6-8,12H,5H2,1-4H3",IRCMYGHHKLLGHV-UHFFFAOYSA-N,DTXSID8034580,DSSTox_Substance_Id,DTXSID8034580,Ethofumesate
1,OC(=O)C1=CC(=CC=C1)N(CC1=CN=CC=C1)C1=CC=C(OC(F)F)C(OC(F)F)=C1,O=C(O)c1cccc(N(Cc2cccnc2)c2ccc(OC(F)F)c(OC(F)F)c2)c1,"InChI=1S/C21H16F4N2O4/c22-20(23)30-17-7-6-16(10-18(17)31-21(24)25)27(12-13-3-2-8-26-11-13)15-5-1-4-14(9-15)19(28)29/h1-11,20-21H,12H2,(H,28,29)",GLUDVMFRXKAGHO-UHFFFAOYSA-N,DTXSID9048510,DSSTox_Substance_Id,DTXSID9048510,PharmaGSID_48510
2,OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"InChI=1S/C20H24ClN3S/c1-22-11-13-23(14-12-22)9-4-10-24-17-5-2-3-6-19(17)25-20-8-7-16(21)15-18(20)24/h2-3,5-8,15H,4,9-14H2,1H3",WIKYUJGCLQQFNW-UHFFFAOYSA-N,DTXSID1049015,DSSTox_Substance_Id,DTXSID1049015,Prochlorperazine dimaleate salt
3,OCC1=CC=CO1,OCc1ccco1,"InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2",XPFVYQJUAUNWIW-UHFFFAOYSA-N,DTXSID2025347,DSSTox_Substance_Id,DTXSID2025347,Furfuryl alcohol
4,CNP(=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,"InChI=1S/C12H19ClNO3P/c1-12(2,3)9-6-7-11(10(13)8-9)17-18(15,14-4)16-5/h6-8H,1-5H3,(H,14,15)",BOFHKBLZOYVHSI-UHFFFAOYSA-N,DTXSID1037515,DSSTox_Substance_Id,DTXSID1037515,Crufomate
5,COCCOCCO,COCCOCCO,"InChI=1S/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3",SBASXUCJHJRPEV-UHFFFAOYSA-N,DTXSID3025049,DSSTox_Substance_Id,DTXSID3025049,Diethylene glycol monomethyl ether
6,CC1SC2=C(C(O)=O)C(=O)C3=CC(F)=C(C=C3N12)N1CCN(CC2=C(C)OC(=O)O2)CC1,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,"InChI=1S/C21H20FN3O6S/c1-10-16(31-21(29)30-10)9-23-3-5-24(6-4-23)15-8-14-12(7-13(15)22)18(26)17(20(27)28)19-25(14)11(2)32-19/h7-8,11H,3-6,9H2,1-2H3,(H,27,28)",PWNMXPDKBYZCOO-UHFFFAOYSA-N,DTXSID0046480,DSSTox_Substance_Id,DTXSID0046480,Prulifloxacin
7,CCOP([O-])(=O)OCC.CCCC[P+](CC)(CCCC)CCCC,CCCC[P+](CC)(CCCC)CCCC,"InChI=1S/C14H32P/c1-5-9-12-15(8-4,13-10-6-2)14-11-7-3/h5-14H2,1-4H3/q+1",HOMONHWYLOPSLL-UHFFFAOYSA-N,DTXSID4049244,DSSTox_Substance_Id,DTXSID4049244,Ethyltributylphosphonium diethylphosphate
8,CCCCN(CCCC)CC(O)C1=C2C3=CC=C(Cl)C=C3\C(=C\C3=CC=C(Cl)C=C3)C2=CC(Cl)=C1,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2=Cc1ccc(Cl)cc1,"InChI=1S/C30H32Cl3NO/c1-3-5-13-34(14-6-4-2)19-29(35)28-18-23(33)17-27-25(15-20-7-9-21(31)10-8-20)26-16-22(32)11-12-24(26)30(27)28/h7-12,15-18,29,35H,3-6,13-14,19H2,1-2H3",DYLGFOYVTXJFJP-UHFFFAOYSA-N,DTXSID3046663,DSSTox_Substance_Id,DTXSID3046663,Lumefantrine
9,N#CCCSCCC#N,N#CCCSCCC#N,"InChI=1S/C6H8N2S/c7-3-1-5-9-6-2-4-8/h1-2,5-6H2",NDVLTZFQVDXFAN-UHFFFAOYSA-N,DTXSID9026899,DSSTox_Substance_Id,DTXSID9026899,"3,3'-Thiodipropionitrile"
10,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3(F)[C@@H](O)C[C@]12C,CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C,"InChI=1S/C21H29FO4/c1-12(23)20(26)9-7-15-16-5-4-13-10-14(24)6-8-18(13,2)21(16,22)17(25)11-19(15,20)3/h4,15-17,25-26H,5-11H2,1-3H3",KYTKOMGZMCQLLJ-UHFFFAOYSA-N,DTXSID0048765,DSSTox_Substance_Id,DTXSID0048765,Flugestone
11,CCOP(=O)(CC)OC1=CC=C(C=C1)[N+]([O-])=O,CCOP(=O)(CC)Oc1ccc([N+](=O)[O-])cc1,"InChI=1S/C10H14NO5P/c1-3-15-17(14,4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",XXUJMEYKYHETBZ-UHFFFAOYSA-N,DTXSID5048843,DSSTox_Substance_Id,DTXSID5048843,Ethyl 4-nitrophenyl ethylphosphonate
12,CC(=O)OCCN(CCOC(C)=O)C1=CC=C(C=C1)N=NC1=C(C=C(C=C1)[N+]([O-])=O)C#N,CC(=O)OCCN(CCOC(C)=O)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1,"InChI=1S/C21H21N5O6/c1-15(27)31-11-9-25(10-12-32-16(2)28)19-5-3-18(4-6-19)23-24-21-8-7-20(26(29)30)13-17(21)14-22/h3-8,13H,9-12H2,1-2H3",GRMDKKJYMUDEJO-UHFFFAOYSA-N,DTXSID6044642,DSSTox_Substance_Id,DTXSID6044642,Disperse Red 82
13,OC1=C(I)C=C(C=C1I)[N+]([O-])=O,O=[N+]([O-])c1cc(I)c(O)c(I)c1,"InChI=1S/C6H3I2NO3/c7-4-1-3(9(11)12)2-5(8)6(4)10/h1-2,10H",UVGTXNPVQOQFQW-UHFFFAOYSA-N,DTXSID4046573,DSSTox_Substance_Id,DTXSID4046573,"2,6-Diiodo-4-nitrophenol"
14,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,"InChI=1S/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3",GTVWRXDRKAHEAD-UHFFFAOYSA-N,DTXSID0021414,DSSTox_Substance_Id,DTXSID0021414,Tris(2-ethylhexyl) phosphate
15,CCOC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1,CCOC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,"InChI=1S/C18H15NO2/c1-2-21-18(20)16(13-19)17(14-9-5-3-6-10-14)15-11-7-4-8-12-15/h3-12H,2H2,1H3",IAJNXBNRYMEYAZ-UHFFFAOYSA-N,DTXSID9044821,DSSTox_Substance_Id,DTXSID9044821,"Ethyl 2-cyano-3,3-diphenylacrylate"
