,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CN=CN1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CC(N)=O)NC(=O)CN)C(C)C)C(N)=O,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)CNC(=O)C(NC(=O)C(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(N)=O)NC(=O)CN)C(C)C)C(N)=O,"InChI=1S/C50H73N17O11S/c1-25(2)13-34(46(74)63-33(43(53)71)11-12-79-6)64-47(75)36(15-29-20-54-23-58-29)62-41(70)22-57-50(78)42(26(3)4)67-44(72)27(5)60-45(73)35(14-28-19-56-32-10-8-7-9-31(28)32)65-48(76)37(16-30-21-55-24-59-30)66-49(77)38(17-39(52)68)61-40(69)18-51/h7-10,19-21,23-27,33-38,42,56H,11-18,22,51H2,1-6H3,(H2,52,68)(H2,53,71)(H,54,58)(H,55,59)(H,57,78)(H,60,73)(H,61,69)(H,62,70)(H,63,74)(H,64,75)(H,65,76)(H,66,77)(H,67,72)",RWBLWXCGQLZKLK-UHFFFAOYSA-N,DTXSID50231221,DSSTox_Substance_Id,DTXSID50231221,Neuromedin C
1,CSCC[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCC(=O)N1)C(C)C)C(N)=O,CSCCC(NC(=O)C(Cc1ccccc1)NC(=O)C(CO)NC(=O)CNC(=O)C(NC(=O)C(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(C)C)NC(=O)C1CCC(=O)N1)C(C)C)C(N)=O,"InChI=1S/C49H69N11O11S/c1-26(2)20-35(57-44(66)34-16-17-39(62)54-34)46(68)59-37(22-30-23-51-32-15-11-10-14-31(30)32)45(67)53-28(5)43(65)60-41(27(3)4)49(71)52-24-40(63)55-38(25-61)48(70)58-36(21-29-12-8-7-9-13-29)47(69)56-33(42(50)64)18-19-72-6/h7-15,23,26-28,33-38,41,51,61H,16-22,24-25H2,1-6H3,(H2,50,64)(H,52,71)(H,53,67)(H,54,62)(H,55,63)(H,56,69)(H,57,66)(H,58,70)(H,59,68)(H,60,65)",UIMIJUUMRLISQI-UHFFFAOYSA-N,DTXSID30236597,DSSTox_Substance_Id,DTXSID30236597,Phyllolitorin
2,O\N=C\C1=CN(N=C1C1=CN=CC=C1)C1=CC=CC=C1,ON=Cc1cn(-c2ccccc2)nc1-c1cccnc1,"InChI=1S/C15H12N4O/c20-17-10-13-11-19(14-6-2-1-3-7-14)18-15(13)12-5-4-8-16-9-12/h1-11,20H",GGZFYSSQFBVNDT-UHFFFAOYSA-N,DTXSID80416685,DSSTox_Substance_Id,DTXSID80416685,AC1NSOOJ
3,CC1(C)OC2=C(C=C(C=C2)C#N)[C@H]([C@@H]1O)N1CCCC1=O,CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)C1O,"InChI=1S/C16H18N2O3/c1-16(2)15(20)14(18-7-3-4-13(18)19)11-8-10(9-17)5-6-12(11)21-16/h5-6,8,14-15,20H,3-4,7H2,1-2H3",TVZCRIROJQEVOT-UHFFFAOYSA-N,DTXSID5045677,DSSTox_Substance_Id,DTXSID5045677,Levcromakalim
4,[Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,O=C(O)CC(O)(CC(=O)O)C(=O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,DTXSID70883185,DSSTox_Substance_Id,DTXSID70883185,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, lithium salt (1:3)"
5,O[C@@H]1[C@@H]2O[C@@H]2C2=C3C=CC4=CC=CC5=CC=C(C=C2[C@H]1O)C3=C45,OC1c2cc3ccc4cccc5ccc(c2C2OC2C1O)c3c45,"InChI=1S/C20H14O3/c21-17-13-8-11-5-4-9-2-1-3-10-6-7-12(15(11)14(9)10)16(13)19-20(23-19)18(17)22/h1-8,17-22H",DQEPMTIXHXSFOR-UHFFFAOYSA-N,DTXSID9036779,DSSTox_Substance_Id,DTXSID9036779,"rel-(7R,8S,8aS,9aR)-7,8,8a,9a-Tetrahydrobenzo[10,11]chryseno[3,4-b]oxirene-7,8-diol"
6,[O-][N+](=O)C1=CC=C(Cl)C2=NON=C12,O=[N+]([O-])c1ccc(Cl)c2nonc12,InChI=1S/C6H2ClN3O3/c7-3-1-2-4(10(11)12)6-5(3)8-13-9-6/h1-2H,IGHBXJSNZCFXNK-UHFFFAOYSA-N,DTXSID2064995,DSSTox_Substance_Id,DTXSID2064995,"2,1,3-Benzoxadiazole, 4-chloro-7-nitro-"
7,O=C1C=C2CCNC2=CC1=O,Oc1cc2cc[nH]c2cc1O,"InChI=1S/C8H7NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h1-4,9-11H",SGNZYJXNUURYCH-UHFFFAOYSA-N,DTXSID80218186,DSSTox_Substance_Id,DTXSID80218186,Dopaminechrome
8,Cl.CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCC1=CC=CC=C1)C(=O)N[C@@H](C(=O)OCC)C1=CC=CC=C1,CCOC(=O)C(N)CCC(=O)NC(CSCc1ccccc1)C(=O)NC(C(=O)OCC)c1ccccc1,"InChI=1S/C27H35N3O6S/c1-3-35-26(33)21(28)15-16-23(31)29-22(18-37-17-19-11-7-5-8-12-19)25(32)30-24(27(34)36-4-2)20-13-9-6-10-14-20/h5-14,21-22,24H,3-4,15-18,28H2,1-2H3,(H,29,31)(H,30,32)",GWEJFLVSOGNLSS-UHFFFAOYSA-N,DTXSID00182855,DSSTox_Substance_Id,DTXSID00182855,Ezatiostat hydrochloride
9,C1CO1,C1CO1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,IAYPIBMASNFSPL-UHFFFAOYSA-N,DTXSID0020600,DSSTox_Substance_Id,DTXSID0020600,Ethylene oxide
10,C=CC1CO1,C=CC1CO1,"InChI=1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2",GXBYFVGCMPJVJX-UHFFFAOYSA-N,DTXSID4025240,DSSTox_Substance_Id,DTXSID4025240,"1,2-Epoxy-3-butene"
11,CC(Cl)C(O)=O,CC(Cl)C(=O)O,"InChI=1S/C3H5ClO2/c1-2(4)3(5)6/h2H,1H3,(H,5,6)",GAWAYYRQGQZKCR-UHFFFAOYSA-N,DTXSID0021545,DSSTox_Substance_Id,DTXSID0021545,2-Chloropropanoic acid
12,OC(=O)CF,O=C(O)CF,"InChI=1S/C2H3FO2/c3-1-2(4)5/h1H2,(H,4,5)",QEWYKACRFQMRMB-UHFFFAOYSA-N,DTXSID0041981,DSSTox_Substance_Id,DTXSID0041981,2-Fluoroacetic acid
