,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,smiles
800,23050,DTXSID50382964,DSSTox_Substance_Id,DTXSID50382964,"5-anilino-8-methyl-1,3-diphenyl-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione",CN1C(=O)C=C(NC2=CC=CC=C2)C2=C1N(C(=O)N(C2=O)C1=CC=CC=C1)C1=CC=CC=C1
801,23051,DTXSID40293898,DSSTox_Substance_Id,DTXSID40293898,MLS002695149,CC1=CC=C(C=C1)S(=O)(=O)N1CCC2=CC=CC=C2CC1
802,23052,DTXSID30394585,DSSTox_Substance_Id,DTXSID30394585,2-Amino-4-morpholino-6-methylpyrimidine,CC1=CC(=NC(N)=N1)N1CCOCC1
803,23053,DTXSID90224930,DSSTox_Substance_Id,DTXSID90224930,"Theobromine, 8-(propylthio)-",CCCSC1=NC2=C(N1C)C(=O)NC(=O)N2C
804,23054,DTXSID90314067,DSSTox_Substance_Id,DTXSID90314067,MLS003115502,OCC1OC(C(O)C1O)C1=C(OCC2=CC=CC=C2)C=C(OCC2=CC=CC=C2)C=C1
805,23055,DTXSID60398278,DSSTox_Substance_Id,DTXSID60398278,"4H-3,1-Benzothiazine-2-thiol",S=C1NC2=CC=CC=C2CS1
806,23056,DTXSID50213481,DSSTox_Substance_Id,DTXSID50213481,"Benzamide, N,N'-(1,3-phenylenebis(iminocarbonothioyl))bis-",O=C(NC(=S)NC1=CC(NC(=S)NC(=O)C2=CC=CC=C2)=CC=C1)C1=CC=CC=C1
807,23057,DTXSID40288840,DSSTox_Substance_Id,DTXSID40288840,MLS002667908,NC1=NC(=O)C2=C(N1)N(C=N2)C1CCCC1
808,23058,DTXSID00278722,DSSTox_Substance_Id,DTXSID00278722,MLS002638091,O=C1C(C2=CC=CC=C2N1CC1=CC=CC=C1)C1=CC=CC=C1
809,23059,DTXSID30352302,DSSTox_Substance_Id,DTXSID30352302,"2-bromo-7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6h)-one",BrC1=CC2=C(C=C1)N=C1CCCCCN1C2=O
810,23060,DTXSID00284489,DSSTox_Substance_Id,DTXSID00284489,MLS002608041,C=CCOC(=O)C(C(=O)CC1=CC=CC=C1)C1=CC=CC=C1
811,23061,DTXSID70155359,DSSTox_Substance_Id,DTXSID70155359,"3-Pyridinecarboxamide, 5-bromo-N-tricyclo(3.3.1.1(sup 3,7))dec-1-yl-",[H]C12CC3([H])CC([H])(C1)CC(C2)(C3)NC(=O)C1=CC(Br)=CN=C1
812,23062,DTXSID90356482,DSSTox_Substance_Id,DTXSID90356482,"5-methyl-2,6-diphenyl-4-pyrimidinol",CC1=C(NC(=NC1=O)C1=CC=CC=C1)C1=CC=CC=C1
813,23063,DTXSID40352171,DSSTox_Substance_Id,DTXSID40352171,6-bromo-4-(4-methylpiperazin-1-yl)quinazoline,CN1CCN(CC1)C1=NC=NC2=C1C=C(Br)C=C2
814,23064,DTXSID50670217,DSSTox_Substance_Id,DTXSID50670217,Potassium trifluoro(phenoxymethyl)borate(1-),[K+].F[B-](F)(F)COC1=CC=CC=C1
815,23065,DTXSID80192634,DSSTox_Substance_Id,DTXSID80192634,"3(2H)-Pyridazinone, 4,5-dihydro-6-(4-propoxyphenyl)-",CCCOC1=CC=C(C=C1)C1=NNC(=O)CC1
816,23066,DTXSID2064288,DSSTox_Substance_Id,DTXSID2064288,"N-(2,4-Dinitrophenyl)benzene-1,4-diamine",NC1=CC=C(NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C=C1
817,23067,DTXSID10178082,DSSTox_Substance_Id,DTXSID10178082,"2H-1,3,5-Thiadiazine-2-thione, tetrahydro-5-ethyl-3-(phenylmethyl)-",CCN1CSC(=S)N(CC2=CC=CC=C2)C1
818,23068,DTXSID70279726,DSSTox_Substance_Id,DTXSID70279726,MLS002638342,O=S(=O)(CCN1CCCCC1)CCS(=O)(=O)CCN1CCCCC1
819,23069,DTXSID50144862,DSSTox_Substance_Id,DTXSID50144862,"1-Naphthylamine, 5,6,7,8-tetrahydro-N-(5,6-dihydro-4H-1,3-thiazin-2-yl)-",C1CCC2=C(C1)C=CC=C2NC1=NCCCS1
820,23070,DTXSID60322351,DSSTox_Substance_Id,DTXSID60322351,MLS003171492,O=C(CNS(=O)(=O)CC1=CC=CC=C1)NNC1=CC=CC=C1
821,23071,DTXSID20314757,DSSTox_Substance_Id,DTXSID20314757,MLS003115588,O=C(CCSC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCCC1
822,23072,DTXSID00281256,DSSTox_Substance_Id,DTXSID00281256,MLS002638761,OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2=CC=CC=C12)C1=CC=CC=C1
823,23073,DTXSID00286822,DSSTox_Substance_Id,DTXSID00286822,MLS002667147,CN(CC1=CC(C)=CC(C)=C1O)CC1=C(O)C(Cl)=CC(Cl)=C1
824,23074,DTXSID50353417,DSSTox_Substance_Id,DTXSID50353417,5-Benzylsulfanylmethyl-furan-2-carboxylic acid,OC(=O)C1=CC=C(CSCC2=CC=CC=C2)O1
