,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CCCCNC1=CC(Cl)=NC(N)=N1,CCCCN=c1cc(Cl)[nH]c(=N)[nH]1,"InChI=1S/C8H13ClN4/c1-2-3-4-11-7-5-6(9)12-8(10)13-7/h5H,2-4H2,1H3,(H3,10,11,12,13)",USOQULOSUZEEKY-UHFFFAOYSA-N,22575,DTXSID80282029,DSSTox_Substance_Id,DTXSID80282029,MLS000738021
1,CCCCN1C(=S)NC2=CC=CC=C2C1=O,CCCCn1c(=S)[nH]c2ccccc2c1=O,"InChI=1S/C12H14N2OS/c1-2-3-8-14-11(15)9-6-4-5-7-10(9)13-12(14)16/h4-7H,2-3,8H2,1H3,(H,13,16)",YIMVQTWMNLKAPM-UHFFFAOYSA-N,22576,DTXSID20364333,DSSTox_Substance_Id,DTXSID20364333,"3-Butyl-2-sulfanylidene-2,3-dihydroquinazolin-4(1H)-one"
2,O=C(CC(CC(=O)C1=CC=CC=C1)C1=CC=CC=N1)C1=CC=CC=C1,O=C(CC(CC(=O)c1ccccc1)c1ccccn1)c1ccccc1,"InChI=1S/C22H19NO2/c24-21(17-9-3-1-4-10-17)15-19(20-13-7-8-14-23-20)16-22(25)18-11-5-2-6-12-18/h1-14,19H,15-16H2",ZQXGBLSJLHFSOS-UHFFFAOYSA-N,22577,DTXSID30277086,DSSTox_Substance_Id,DTXSID30277086,"1,5-diphenyl-3-(pyridin-2-yl)pentane-1,5-dione"
3,CN1C(=S)NN=C1C1=CC=CC=C1Br,Cn1c(-c2ccccc2Br)n[nH]c1=S,"InChI=1S/C9H8BrN3S/c1-13-8(11-12-9(13)14)6-4-2-3-5-7(6)10/h2-5H,1H3,(H,12,14)",YCYXELBWIYJJNP-UHFFFAOYSA-N,22578,DTXSID60350255,DSSTox_Substance_Id,DTXSID60350255,"5-(2-bromophenyl)-4-methyl-4H-1,2,4-triazole-3-thiol"
4,CC1=CC(C)(C)NC2=C1C=C(CC1=CC3=C(NC(C)(C)C=C3C)C=C1)C=C2,CC1=CC(C)(C)Nc2ccc(Cc3ccc4c(c3)C(C)=CC(C)(C)N4)cc21,"InChI=1S/C25H30N2/c1-16-14-24(3,4)26-22-9-7-18(12-20(16)22)11-19-8-10-23-21(13-19)17(2)15-25(5,6)27-23/h7-10,12-15,26-27H,11H2,1-6H3",ADHZMOYUJKFKSE-UHFFFAOYSA-N,22579,DTXSID30194128,DSSTox_Substance_Id,DTXSID30194128,"6,6'-Methylene bis(2,2,4-trimethyl-1,2-dihydroquinoline)"
5,[H]C12CC3(C)CCC1C(C)(C)OC1=C(C(C)=O)C(O)=CC(O3)=C21,CC(=O)c1c(O)cc2c3c1OC(C)(C)C1CCC(C)(CC31)O2,"InChI=1S/C18H22O4/c1-9(19)14-12(20)7-13-15-10-8-18(4,21-13)6-5-11(10)17(2,3)22-16(14)15/h7,10-11,20H,5-6,8H2,1-4H3",AHFQKUOGPHVZLT-UHFFFAOYSA-N,22580,DTXSID20313447,DSSTox_Substance_Id,DTXSID20313447,MLS003115408
6,CC1=C2NC(=O)NC(=S)C2=NN1,Cc1[nH]nc2c(=S)[nH]c(=O)[nH]c12,"InChI=1S/C6H6N4OS/c1-2-3-4(10-9-2)5(12)8-6(11)7-3/h1H3,(H,9,10)(H2,7,8,11,12)",YQBUPWSTBDQFOF-UHFFFAOYSA-N,22581,DTXSID80393402,DSSTox_Substance_Id,DTXSID80393402,MLS002919873
7,NC1=NC(=O)C=C(NC2CCCC2)N1,N=c1[nH]c(NC2CCCC2)cc(=O)[nH]1,"InChI=1S/C9H14N4O/c10-9-12-7(5-8(14)13-9)11-6-3-1-2-4-6/h5-6H,1-4H2,(H4,10,11,12,13,14)",XQYIBHPUKPFWDA-UHFFFAOYSA-N,22582,DTXSID10289162,DSSTox_Substance_Id,DTXSID10289162,MLS002693231
8,O=C(NNC1=CC=CC=C1)C(=O)NNC1=CC=CC=C1,O=C(NNc1ccccc1)C(=O)NNc1ccccc1,"InChI=1S/C14H14N4O2/c19-13(17-15-11-7-3-1-4-8-11)14(20)18-16-12-9-5-2-6-10-12/h1-10,15-16H,(H,17,19)(H,18,20)",KNYRBAZKFQHSLZ-UHFFFAOYSA-N,22583,DTXSID50278292,DSSTox_Substance_Id,DTXSID50278292,"n'1,n'2-diphenylethanedihydrazide"
9,O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,O=C(c1ccccc1)C(c1ccccc1)c1ccccc1,"InChI=1S/C20H16O/c21-20(18-14-8-3-9-15-18)19(16-10-4-1-5-11-16)17-12-6-2-7-13-17/h1-15,19H",UKQCJCWLKWRFFI-UHFFFAOYSA-N,22584,DTXSID30169578,DSSTox_Substance_Id,DTXSID30169578,"1,2,2-Triphenylethanone"
10,ClC1=CC=CC=C1C(=O)NCCC1=CC=CC=C1,O=C(NCCc1ccccc1)c1ccccc1Cl,"InChI=1S/C15H14ClNO/c16-14-9-5-4-8-13(14)15(18)17-11-10-12-6-2-1-3-7-12/h1-9H,10-11H2,(H,17,18)",PLSUZSSOFMKWLH-UHFFFAOYSA-N,22585,DTXSID50351135,DSSTox_Substance_Id,DTXSID50351135,2-Chloro-N-phenethyl-benzamide
11,CCCN1C=NC2=C1C1=CC=CC=C1OC2=O,CCCn1cnc2c(=O)oc3ccccc3c21,"InChI=1S/C13H12N2O2/c1-2-7-15-8-14-11-12(15)9-5-3-4-6-10(9)17-13(11)16/h3-6,8H,2,7H2,1H3",MAIPMUKCRMAMJS-UHFFFAOYSA-N,22586,DTXSID90236215,DSSTox_Substance_Id,DTXSID90236215,"(1)Benzopyrano(3,4-d)imidazol-4(1H)-one, 1-propyl-"
12,O=S(=O)(N1CCCCC1)C1=CC2=CC=CC=C2C=C1,O=S(=O)(c1ccc2ccccc2c1)N1CCCCC1,"InChI=1S/C15H17NO2S/c17-19(18,16-10-4-1-5-11-16)15-9-8-13-6-2-3-7-14(13)12-15/h2-3,6-9,12H,1,4-5,10-11H2",HPIVQSYLMYADQE-UHFFFAOYSA-N,22587,DTXSID70354143,DSSTox_Substance_Id,DTXSID70354143,"Piperidine, 1-(2-naphthalenylsulfonyl)-"
13,CC(=O)C1=CC(OC(=O)C2=CC=CC=C2)=CC=C1,CC(=O)c1cccc(OC(=O)c2ccccc2)c1,"InChI=1S/C15H12O3/c1-11(16)13-8-5-9-14(10-13)18-15(17)12-6-3-2-4-7-12/h2-10H,1H3",CCDOBBGYSDWGKY-UHFFFAOYSA-N,22588,DTXSID80295598,DSSTox_Substance_Id,DTXSID80295598,3-acetylphenyl benzoate
14,CC1=CC=C(C=C1)S(=O)(=O)NC1CCCCCCC1,Cc1ccc(S(=O)(=O)NC2CCCCCCC2)cc1,"InChI=1S/C15H23NO2S/c1-13-9-11-15(12-10-13)19(17,18)16-14-7-5-3-2-4-6-8-14/h9-12,14,16H,2-8H2,1H3",YXSWGHDOGYIRBI-UHFFFAOYSA-N,22589,DTXSID80293897,DSSTox_Substance_Id,DTXSID80293897,N-cyclooctyl-4-methylbenzenesulfonamide
15,COC1=C(OC)C=C2C3=CC=CC=C3N(C)C(=O)C2=C1,COc1cc2c(=O)n(C)c3ccccc3c2cc1OC,"InChI=1S/C16H15NO3/c1-17-13-7-5-4-6-10(13)11-8-14(19-2)15(20-3)9-12(11)16(17)18/h4-9H,1-3H3",QIVCMLJWLWPOSF-UHFFFAOYSA-N,22590,DTXSID20313644,DSSTox_Substance_Id,DTXSID20313644,MLS003115448
16,O=C1C=CSC2=CC=CC=C12,O=c1ccsc2ccccc12,InChI=1S/C9H6OS/c10-8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,DHSYDTXGFJPXKA-UHFFFAOYSA-N,22591,DTXSID00197681,DSSTox_Substance_Id,DTXSID00197681,1-Thiochromone
17,CCCCSC1=NC2=C(N1)C(=S)N(C)C(=O)N2C,CCCCSc1nc2c(=S)n(C)c(=O)n(C)c2[nH]1,"InChI=1S/C11H16N4OS2/c1-4-5-6-18-10-12-7-8(13-10)14(2)11(16)15(3)9(7)17/h4-6H2,1-3H3,(H,12,13)",JTKHAEGWWHAFTM-UHFFFAOYSA-N,22592,DTXSID20215235,DSSTox_Substance_Id,DTXSID20215235,"Theophylline, 8-butylthio-6-thio-"
18,CC1(C)NC2=CC=CC3=CC=CC(N1)=C23,CC1(C)Nc2cccc3cccc(c23)N1,"InChI=1S/C13H14N2/c1-13(2)14-10-7-3-5-9-6-4-8-11(15-13)12(9)10/h3-8,14-15H,1-2H3",DETLTZYXZWIXIB-UHFFFAOYSA-N,22593,DTXSID0073370,DSSTox_Substance_Id,DTXSID0073370,"2,2-Dimethyl-2,3-dihydroperimidine"
19,OC(=O)CCC(=O)NC1CCCCC1,O=C(O)CCC(=O)NC1CCCCC1,"InChI=1S/C10H17NO3/c12-9(6-7-10(13)14)11-8-4-2-1-3-5-8/h8H,1-7H2,(H,11,12)(H,13,14)",QPFZDZLAUAIBLL-UHFFFAOYSA-N,22594,DTXSID60352638,DSSTox_Substance_Id,DTXSID60352638,N-Cyclohexyl-succinamic acid
20,NC(CSC1(C2=CC=CC=C2C2=CC=CC=C12)C1=CC=C(F)C=C1)C(O)=O,NC(CSC1(c2ccc(F)cc2)c2ccccc2-c2ccccc21)C(=O)O,"InChI=1S/C22H18FNO2S/c23-15-11-9-14(10-12-15)22(27-13-20(24)21(25)26)18-7-3-1-5-16(18)17-6-2-4-8-19(17)22/h1-12,20H,13,24H2,(H,25,26)",DCRGHKLXVWULPR-UHFFFAOYSA-N,22595,DTXSID80298786,DSSTox_Substance_Id,DTXSID80298786,MLS002919865
21,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC1=C(CC2=CC=CC=C2)C=CC=C1,CN(C)CCOc1ccccc1Cc1ccccc1,"InChI=1S/C17H21NO/c1-18(2)12-13-19-17-11-7-6-10-16(17)14-15-8-4-3-5-9-15/h3-11H,12-14H2,1-2H3",IZRPKIZLIFYYKR-UHFFFAOYSA-N,22596,DTXSID5047790,DSSTox_Substance_Id,DTXSID5047790,Phenyltoloxamine citrate
22,CC1=CC(OC2=C(N)C=C(Cl)C=C2)=CC=C1,Cc1cccc(Oc2ccc(Cl)cc2N)c1,"InChI=1S/C13H12ClNO/c1-9-3-2-4-11(7-9)16-13-6-5-10(14)8-12(13)15/h2-8H,15H2,1H3",KBUUENZGTGZADQ-UHFFFAOYSA-N,22597,DTXSID10391870,DSSTox_Substance_Id,DTXSID10391870,5-chloro-2-(3-methylphenoxy)aniline
23,CC1=CC=C(C=C1)C(=O)NC1=NC=C(Cl)C=C1,Cc1ccc(C(=O)N=c2ccc(Cl)c[nH]2)cc1,"InChI=1S/C13H11ClN2O/c1-9-2-4-10(5-3-9)13(17)16-12-7-6-11(14)8-15-12/h2-8H,1H3,(H,15,16,17)",GENAZTIIDZVFNK-UHFFFAOYSA-N,22598,DTXSID90349394,DSSTox_Substance_Id,DTXSID90349394,N-(5-chloropyridin-2-yl)-4-methylbenzamide
24,CC1=CC=CC2=NN=C(N12)C1=CC=CC=C1,Cc1cccc2nnc(-c3ccccc3)n12,"InChI=1S/C13H11N3/c1-10-6-5-9-12-14-15-13(16(10)12)11-7-3-2-4-8-11/h2-9H,1H3",SBGARLVMBLQXRR-UHFFFAOYSA-N,22599,DTXSID50291906,DSSTox_Substance_Id,DTXSID50291906,"5-Methyl-3-phenyl[1,2,4]triazolo[4,3-a]pyridine"
