,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CCOC(=O)C1=C(O)C=C(O)C=C1,CCOC(=O)c1ccc(O)cc1O,"InChI=1S/C9H10O4/c1-2-13-9(12)7-4-3-6(10)5-8(7)11/h3-5,10-11H,2H2,1H3",BRDIPNLKURUXCU-UHFFFAOYSA-N,5750,DTXSID50356307,DSSTox_Substance_Id,DTXSID50356307,"Ethyl 2,4-dihydroxybenzoate"
1,OC1=C(O)C(Br)=C(Br)C(CC2=C(O)C(CC3=CC(O)=C(O)C(Br)=C3Br)=C(O)C(Br)=C2O)=C1,Oc1cc(Cc2c(O)c(Br)c(O)c(Cc3cc(O)c(O)c(Br)c3Br)c2O)c(Br)c(Br)c1O,"InChI=1S/C20H13Br5O7/c21-11-5(3-9(26)19(31)13(11)23)1-7-16(28)8(18(30)15(25)17(7)29)2-6-4-10(27)20(32)14(24)12(6)22/h3-4,26-32H,1-2H2",KNHOTGMNAPTUGT-UHFFFAOYSA-N,5751,DTXSID70160100,DSSTox_Substance_Id,DTXSID70160100,Vidalol B
2,[Na+].CCC([O-])=O,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N,5752,DTXSID7021996,DSSTox_Substance_Id,DTXSID7021996,Sodium propionate
3,CCCOC1=CC2=C(C=CC(=O)O2)C=C1,CCCOc1ccc2ccc(=O)oc2c1,"InChI=1S/C12H12O3/c1-2-7-14-10-5-3-9-4-6-12(13)15-11(9)8-10/h3-6,8H,2,7H2,1H3",FCCCOTWGEKNZMI-UHFFFAOYSA-N,5753,DTXSID90209762,DSSTox_Substance_Id,DTXSID90209762,"2H-1-Benzopyran-2-one, 7-propoxy-"
4,COC1=CC=CC2=C1OC(=O)C(=C2)C(O)=O,COc1cccc2cc(C(=O)O)c(=O)oc12,"InChI=1S/C11H8O5/c1-15-8-4-2-3-6-5-7(10(12)13)11(14)16-9(6)8/h2-5H,1H3,(H,12,13)",SFAPWVZFUHJZIC-UHFFFAOYSA-N,5754,DTXSID30283980,DSSTox_Substance_Id,DTXSID30283980,8-Methoxy-2-oxo-2H-chromene-3-carboxylic acid
5,[Na+].OC1=CC=C(C=C1)C([O-])=O,O=C(O)c1ccc(O)cc1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,5755,DTXSID3059426,DSSTox_Substance_Id,DTXSID3059426,"Benzoic acid, 4-hydroxy-, monosodium salt"
6,NC1=CC(O)=CC=C1,Nc1cccc(O)c1,"InChI=1S/C6H7NO/c7-5-2-1-3-6(8)4-5/h1-4,8H,7H2",CWLKGDAVCFYWJK-UHFFFAOYSA-N,5756,DTXSID3024497,DSSTox_Substance_Id,DTXSID3024497,3-Aminophenol
7,COC1=C(O)C=CC(\C=C\C(=O)OCCC2=CC=C(O)C=C2)=C1,COc1cc(C=CC(=O)OCCc2ccc(O)cc2)ccc1O,"InChI=1S/C18H18O5/c1-22-17-12-14(4-8-16(17)20)5-9-18(21)23-11-10-13-2-6-15(19)7-3-13/h2-9,12,19-20H,10-11H2,1H3",JMSFLLZUCIXALN-UHFFFAOYSA-N,5757,DTXSID10348425,DSSTox_Substance_Id,DTXSID10348425,p-Hydroxyphenethyl trans-ferulate
8,[Na+].[Na+].[O-]C(=O)C([O-])=O,O=C(O)C(=O)O,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",MUBZPKHOEPUJKR-UHFFFAOYSA-N,5758,DTXSID1037018,DSSTox_Substance_Id,DTXSID1037018,Sodium oxalate
9,NNC(=O)C1=CC=CC=C1S(N)(=O)=O,NNC(=O)c1ccccc1S(N)(=O)=O,"InChI=1S/C7H9N3O3S/c8-10-7(11)5-3-1-2-4-6(5)14(9,12)13/h1-4H,8H2,(H,10,11)(H2,9,12,13)",YWPOXIABDFDDSR-UHFFFAOYSA-N,5759,DTXSID30368807,DSSTox_Substance_Id,DTXSID30368807,2-(Hydrazinecarbonyl)benzene-1-sulfonamide
