,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,O=P(COC1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,O=P(COc1ccccc1)(c1ccccc1)c1ccccc1,"InChI=1S/C19H17O2P/c20-22(18-12-6-2-7-13-18,19-14-8-3-9-15-19)16-21-17-10-4-1-5-11-17/h1-15H,16H2",BMKJQPBLOVRKFM-UHFFFAOYSA-N,22600,DTXSID90367235,DSSTox_Substance_Id,DTXSID90367235,"Phosphine oxide, (phenoxymethyl)diphenyl-"
1,CC1=CC(=O)N2C(SC=C2C2=CC=C(Cl)C=C2)=N1,Cc1cc(=O)n2c(-c3ccc(Cl)cc3)csc2n1,"InChI=1S/C13H9ClN2OS/c1-8-6-12(17)16-11(7-18-13(16)15-8)9-2-4-10(14)5-3-9/h2-7H,1H3",PHDCQCLUKJDFOY-UHFFFAOYSA-N,22601,DTXSID90312684,DSSTox_Substance_Id,DTXSID90312684,"3-(4-Chlorophenyl)-7-methyl-5H-pyrimido[2,1-b][1,3]thiazol-5-one"
2,O=C1CSC(NC2=CC=CC=C2)=N1,Oc1csc(=Nc2ccccc2)[nH]1,"InChI=1S/C9H8N2OS/c12-8-6-13-9(11-8)10-7-4-2-1-3-5-7/h1-6,12H,(H,10,11)",WHKPJEBTRHSJSZ-UHFFFAOYSA-N,22602,DTXSID30359098,DSSTox_Substance_Id,DTXSID30359098,2-Phenylamino-thiazol-4-one
3,NS(=O)(=O)C1=C(NC2=CC(Cl)=C(Cl)C=C2)N=CC=C1,NS(=O)(=O)c1ccc[nH]c1=Nc1ccc(Cl)c(Cl)c1,"InChI=1S/C11H9Cl2N3O2S/c12-8-4-3-7(6-9(8)13)16-11-10(19(14,17)18)2-1-5-15-11/h1-6H,(H,15,16)(H2,14,17,18)",IAVSPSVAYDFADN-UHFFFAOYSA-N,22603,DTXSID00315565,DSSTox_Substance_Id,DTXSID00315565,"2-(3,4-dichloroanilino)-3-pyridinesulfonamide"
4,COCCCNC1=C(Cl)C(=O)C2=CC=CC=C2C1=O,COCCCN=C1C(=O)c2ccccc2C(=O)C1Cl,"InChI=1S/C14H14ClNO3/c1-19-8-4-7-16-12-11(15)13(17)9-5-2-3-6-10(9)14(12)18/h2-3,5-6,11H,4,7-8H2,1H3",TVWWZEZFEFMTNC-UHFFFAOYSA-N,22604,DTXSID30284856,DSSTox_Substance_Id,DTXSID30284856,"2-chloro-3-(3-methoxypropylamino)naphthalene-1,4-dione"
5,CC1=CC2=C(C=CC=C2CC(=O)NN)C=C1,Cc1ccc2cccc(CC(=O)NN)c2c1,"InChI=1S/C13H14N2O/c1-9-5-6-10-3-2-4-11(12(10)7-9)8-13(16)15-14/h2-7H,8,14H2,1H3,(H,15,16)",UJVDZBWYQHPWBL-UHFFFAOYSA-N,22605,DTXSID70308848,DSSTox_Substance_Id,DTXSID70308848,MLS003107245
6,CC1=CC(=O)NC2=C1C=C(Cl)C=C2,Cc1cc(=O)[nH]c2ccc(Cl)cc12,"InChI=1S/C10H8ClNO/c1-6-4-10(13)12-9-3-2-7(11)5-8(6)9/h2-5H,1H3,(H,12,13)",VQMIYHVFVPSLGB-UHFFFAOYSA-N,22606,DTXSID90345679,DSSTox_Substance_Id,DTXSID90345679,6-Chloro-4-methylquinolin-2(1H)-one
7,COC1=C(OC)C2=C(C=C1)C(=O)C=C(O2)C1=CN=CC=C1,COc1ccc2c(=O)cc(-c3cccnc3)oc2c1OC,"InChI=1S/C16H13NO4/c1-19-13-6-5-11-12(18)8-14(10-4-3-7-17-9-10)21-15(11)16(13)20-2/h3-9H,1-2H3",UGPRPHBATBAETK-UHFFFAOYSA-N,22607,DTXSID80288182,DSSTox_Substance_Id,DTXSID80288182,MLS000737296
8,[H]C12CC3([H])CC([H])(C1)CC(C2)(C3)NC(=O)C1CN(C(=O)C1)C1=CC=CC=C1,Oc1cc(C(O)NC23CC4CC(CC(C4)C2)C3)cn1-c1ccccc1,"InChI=1S/C21H26N2O2/c24-19-9-17(13-23(19)18-4-2-1-3-5-18)20(25)22-21-10-14-6-15(11-21)8-16(7-14)12-21/h1-5,9,13-16,20,22,24-25H,6-8,10-12H2",PFABXZBWEHYJRW-UHFFFAOYSA-N,22608,DTXSID40387206,DSSTox_Substance_Id,DTXSID40387206,ST014790
9,NC1=NC(=O)C(S1)(C1=CC=CC=C1)C1=CC=CC=C1,N=C1NC(=O)C(c2ccccc2)(c2ccccc2)S1,"InChI=1S/C15H12N2OS/c16-14-17-13(18)15(19-14,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18)",BDASUGIISLUZMZ-UHFFFAOYSA-N,22609,DTXSID70296317,DSSTox_Substance_Id,DTXSID70296317,MLS002704090
