,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,smiles
1350,15100,DTXSID60424506,DSSTox_Substance_Id,DTXSID60424506,2-chloro-N-(1-ethyl-3-methyl-1H-pyrazol-4-yl)acetamide,CCN1C=C(NC(=O)CCl)C(C)=N1
1351,15101,DTXSID10361710,DSSTox_Substance_Id,DTXSID10361710,Phenyl (4-(4-(4-hydroxyphenyl)piperazin-1-yl)phenyl)carbamate,OC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(NC(=O)OC2=CC=CC=C2)C=C1
1352,15102,DTXSID60368870,DSSTox_Substance_Id,DTXSID60368870,"3-(Furan-2-yl)-1,2-oxazol-5-amine",NC1=CC(=NO1)C1=CC=CO1
1353,15103,DTXSID40366773,DSSTox_Substance_Id,DTXSID40366773,"2,2,3,3-Tetrafluoropropyl 5-[(2-methoxyphenyl)amino]-5-oxopentanoate",COC1=CC=CC=C1NC(=O)CCCC(=O)OCC(F)(F)C(F)F
1354,15104,DTXSID8045305,DSSTox_Substance_Id,DTXSID8045305,Triflusal,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O
1355,15105,DTXSID00224461,DSSTox_Substance_Id,DTXSID00224461,"Ethanol, 2-(N-((benzo(b)thien-3-yl)methyl)-N-ethylamino)-, hydrochloride",Cl.CCN(CCO)CC1=CSC2=CC=CC=C12
1356,15106,DTXSID7026314,DSSTox_Substance_Id,DTXSID7026314,Zinc pyrithione,[O-]1N2C=CC=CC2=[S][Zn++]11[O-]N2C=CC=CC2=[S]1
1357,15107,DTXSID40715883,DSSTox_Substance_Id,DTXSID40715883,"Methyl 4-hydroxy-1-(4-methoxyphenyl)-6-oxo-1,6-dihydropyridazine-3-carboxylate",COC(=O)C1=NN(C(=O)C=C1O)C1=CC=C(OC)C=C1
1358,15108,DTXSID5025607,DSSTox_Substance_Id,DTXSID5025607,"1,2-Dimethoxy-4-(2-propen-1-yl)benzene",COC1=CC=C(CC=C)C=C1OC
1359,15109,DTXSID70358242,DSSTox_Substance_Id,DTXSID70358242,1-(4-methoxyphenyl)-1H-pyrrole-2-carbaldehyde,COC1=CC=C(C=C1)N1C=CC=C1C=O
1360,15110,DTXSID3024449,DSSTox_Substance_Id,DTXSID3024449,Allylthiourea,NC(=S)NCC=C
1361,15111,DTXSID70304289,DSSTox_Substance_Id,DTXSID70304289,7N-516S,CCOC(=O)C1=CN=C(SC)N=C1SC1=CC=CC=C1
1362,15112,DTXSID60361321,DSSTox_Substance_Id,DTXSID60361321,"6-Methyl-3-sulfanylidene-2,3-dihydro[1,2,4]triazolo[4,3-b][1,2,4]triazin-7(1H)-one",CC1=NN2C(=S)NNC2=NC1=O
1363,15113,DTXSID6067121,DSSTox_Substance_Id,DTXSID6067121,"1,3,4-Thiadiazol-2-amine, 5-(ethylthio)-",CCSC1=NNC(=N)S1
1364,15114,DTXSID90363055,DSSTox_Substance_Id,DTXSID90363055,"2-(4-benzylpiperazino)-1,3-thiazole-5-carbaldehyde",O=CC1=CN=C(S1)N1CCN(CC2=CC=CC=C2)CC1
1365,15115,DTXSID80419914,DSSTox_Substance_Id,DTXSID80419914,7-Hydroxy-3-(1-phenyl-1H-pyrazol-4-yl)-chromen-4-one,OC1=CC2=C(C=C1)C(=O)C(=CO2)C1=CN(N=C1)C1=CC=CC=C1
1366,15116,DTXSID00286605,DSSTox_Substance_Id,DTXSID00286605,"4,5-dimethoxy-1-indanone",COC1=C(OC)C2=C(C=C1)C(=O)CC2
1367,15117,DTXSID8038857,DSSTox_Substance_Id,DTXSID8038857,2-Methyl-4'-(methylthio)-2-morpholinopropiophenone,CSC1=CC=C(C=C1)C(=O)C(C)(C)N1CCOCC1
1368,15118,DTXSID70390485,DSSTox_Substance_Id,DTXSID70390485,"N-Cyclopentyl-2,6-difluoro-N-[(thiophen-2-yl)methyl]benzamide",FC1=CC=CC(F)=C1C(=O)N(CC1=CC=CS1)C1CCCC1
1369,15119,DTXSID60192637,DSSTox_Substance_Id,DTXSID60192637,"2H-1-Benzopyran-3-carboxylic acid, 2-oxo-, propyl ester",CCCOC(=O)C1=CC2=CC=CC=C2OC1=O
1370,15120,DTXSID90341252,DSSTox_Substance_Id,DTXSID90341252,"1H-Imidazole-4,5-dicarboxamide, N,N'-bis(phenylmethyl)-",O=C(NCC1=CC=CC=C1)C1=C(N=CN1)C(=O)NCC1=CC=CC=C1
1371,15121,DTXSID20430345,DSSTox_Substance_Id,DTXSID20430345,SMR000034141,C(CN1CCCCC1)N1C(\N=C\C2=CC3=C(OCO3)C=C2)=NC2=CC=CC=C12
1372,15122,DTXSID10350604,DSSTox_Substance_Id,DTXSID10350604,ST4014630,CCC1=CC=C(NC(=O)CSC2=CC=CC=N2)C=C1
1373,15123,DTXSID90368621,DSSTox_Substance_Id,DTXSID90368621,"4,5-Di-furan-2-yl-thiazol-2-ylamine",NC1=NC(C2=CC=CO2)=C(S1)C1=CC=CO1
1374,15124,DTXSID40345528,DSSTox_Substance_Id,DTXSID40345528,"1,4-Dimethoxyphthalazine",COC1=NN=C(OC)C2=CC=CC=C12
