OASIS_ID,Compound_name,Assay_Endpoint,POD_um,POD_um_l,POD_um_u,Bioactivity_POD
OASIS691,Niacin,AGP,4.9613774208095744,4.824023416018778,5.104751590709055,true
OASIS229,Propyl gallate,AGP,58.84764855932526,55.90457584052863,61.84071733538995,true
OASIS229,Propyl gallate,Mito,82.98468309903988,77.48209590037148,88.73681149044589,false
OASIS1553,Quetiapine,AGP,27.7938752290024,26.563561629804838,29.04068945234082,false
OASIS1553,Quetiapine,Brightfield,44.78960583592345,43.76376796359387,45.81715867466435,false
OASIS1553,Quetiapine,DNA,55.5439843741735,53.577892527687524,57.493623043199804,false
OASIS1553,Quetiapine,ER,22.666434897296465,21.2691047207404,24.089854369427837,false
OASIS1553,Quetiapine,gmd,20.86460968939919,19.748219492968133,22.001574752024283,true
OASIS1553,Quetiapine,Mito,31.71607089758695,30.489044097994032,32.95762062346598,false
OASIS1553,Quetiapine,RNA,25.27240749842361,23.882059873306215,26.682815308149266,false
OASIS305,Bezafibrate,AGP,28.251135187157658,24.095145402760625,33.03220642747329,false
OASIS305,Bezafibrate,ER,73.52123678461813,70.49063718194513,76.52764537601205,false
OASIS305,Bezafibrate,gmd,15.596653667386079,11.100629069179593,21.96603931498251,true
OASIS305,Bezafibrate,Mito,95.80045281247816,82.09771561212713,111.61208592155825,false
OASIS672,Isosorbide dinitrate,Brightfield,78.92765417011796,76.98276263955192,80.87660751299056,false
OASIS672,Isosorbide dinitrate,gmd,73.90720717080741,47.975299323763615,114.19911641784167,true
OASIS1915,Fidaxomicin,AGP,27.882491195435254,27.211743551054067,28.546275048748797,false
OASIS1915,Fidaxomicin,Brightfield,31.486861391831095,31.049534688813573,31.921452175597054,false
OASIS1915,Fidaxomicin,DNA,39.92558483579131,39.12236800282206,40.71784923911155,false
OASIS1915,Fidaxomicin,ER,37.50002511234053,36.67932143873465,38.30182733768157,false
OASIS1915,Fidaxomicin,gmd,26.476045496869276,25.87719803411785,27.066135485465416,true
OASIS1915,Fidaxomicin,Mito,28.39526658369193,27.817208202964522,28.968195730960797,false
OASIS1915,Fidaxomicin,RNA,28.14124773051556,27.387765630309243,28.88294940076498,false
OASIS607,Thio-TEPA,AGP,57.82280907657019,55.67382690730611,59.98175495976892,false
OASIS607,Thio-TEPA,DNA,74.46662521560697,70.41919986303874,78.56749812265745,false
OASIS607,Thio-TEPA,ER,45.28487992352639,42.86133555029769,47.72805195612158,false
OASIS607,Thio-TEPA,gmd,3.9951728617651896,3.036188629051115,5.26636222725619,true
OASIS607,Thio-TEPA,RNA,53.29846026463827,50.79939246410689,55.807487937820746,false
OASIS1345,Fluspirilene,AGP,26.853183553085497,26.22679004570048,27.47326880670859,false
OASIS1345,Fluspirilene,Brightfield,36.629950977792845,36.174066765663866,37.08082350569245,false
OASIS1345,Fluspirilene,DNA,44.681107894454726,43.791361588279244,45.54856990330285,false
OASIS1345,Fluspirilene,ER,20.005438623999513,19.50229428276565,20.491812740630184,true
OASIS1345,Fluspirilene,gmd,28.30984876821525,27.67131968541276,28.936550877589788,false
OASIS1345,Fluspirilene,Mito,45.94431748187259,45.36160504326315,46.51648565123772,false
OASIS1345,Fluspirilene,RNA,28.09531473260672,27.334917508543494,28.842886669847665,false
,Compound_c7b43962,AGP,39.72770749118809,38.58425312786606,40.86290383810732,false
,Compound_c7b43962,Brightfield,33.573148057322534,32.52870667264455,34.62875602663239,false
,Compound_c7b43962,DNA,46.46608376612029,44.86189807207884,48.06301501642337,false
,Compound_c7b43962,ER,41.52240644726702,40.415765107868886,42.60213397812528,false
,Compound_c7b43962,gmd,32.93235433766789,31.76931617928127,34.090198052329136,true
,Compound_c7b43962,Mito,48.18661336574278,47.39525387191572,48.964077253623245,false
,Compound_c7b43962,RNA,34.30844425279839,32.84642510461234,35.76497887113818,false
OASIS1805,Siponimod,AGP,3.290328077155109,3.074161949003552,3.514781142264451,false
OASIS1805,Siponimod,Brightfield,29.7209445199671,28.98517395930669,30.4594700751927,false
OASIS1805,Siponimod,DNA,3.0525231366381385,2.2181556199161014,4.218178730155551,false
OASIS1805,Siponimod,ER,1.396642463406936,1.2322858106994303,1.5772814650036875,false
OASIS1805,Siponimod,gmd,9.034203031151034,8.444414423090246,9.643804003043694,false
OASIS1805,Siponimod,Mito,27.64963963013253,26.688462922705682,28.617695353214625,false
OASIS1805,Siponimod,RNA,1.0392950092181092,0.891377334311245,1.2094412369735434,true
OASIS1839,Lenvatinib,AGP,5.998386950512987,5.7590140748591505,6.241629193814079,false
OASIS1839,Lenvatinib,Brightfield,6.2619370040831965,6.161133292546051,6.361917614624369,false
OASIS1839,Lenvatinib,DNA,6.47954924181679,5.941678742763978,7.045898700527594,false
OASIS1839,Lenvatinib,ER,3.8430874464519054,3.6211827086448274,4.067455677957289,false
OASIS1839,Lenvatinib,gmd,2.8286101023809374,2.682717771859504,2.976789928857284,true
OASIS1839,Lenvatinib,Mito,9.95597196092382,9.690830309600294,10.222420901177518,false
OASIS1839,Lenvatinib,RNA,6.978346403108665,6.675076423469361,7.284726245730944,false
OASIS1540,Mepivacaine,gmd,8.63164791601151,2.614153043341537,35.13175116160208,true
OASIS1474,Estramustine,AGP,34.60462052562726,33.198052535312364,36.02382659405872,false
OASIS1474,Estramustine,Brightfield,37.73993728619156,36.87159720133903,38.60745955182002,false
